Geneid,SRX1392946,SRX1392947,SRX1392948,SRX1392949,SRX1392950,SRX1392951,SRX1392952,SRX1392953,SRX1392954,SRX1392955,SRX1392956,SRX1392957,SRX4340129,SRX4340130,SRX4340131,SRX4340132,SRX4340133,SRX4340134,SRX472912,SRX472917,SRX472922,SRX472931,SRX8537506,SRX8537507,SRX8537508,SRX8537509,SRX8537510,SRX8537511
STMUK_p001,6.939890786046942,6.708076110246936,6.398707595338783,7.5053620903418885,6.548193403459931,7.095490154540488,4.213442201896896,5.705676160657879,3.1407185415316805,4.2824232701935685,4.757387203661525,5.125859957177256,5.959566763165414,6.01622100673817,6.790219047172863,6.68909155898366,6.671725360626148,6.943796085371833,4.741754688243458,3.4106862184879043,4.759651536214372,3.728434389169272,4.475391244961357,4.264369421698197,4.7373110144753845,4.07873497671844,4.693038699063875,4.397080984970643
STMUK_p002,7.190161326515244,7.891310331374944,8.237886613944049,7.830142661317277,7.327055954359518,7.619574582277325,6.875693680072558,7.19066195014444,8.528114654541435,8.840661429312524,8.647937142048256,8.934807190318423,6.617997774085466,6.672744203164647,6.816912831189814,6.861839482291917,6.9520795600657745,6.772405390843068,5.964883923944592,5.177855322707186,7.2185484356819805,5.7116380264741355,7.429266965859974,7.575712789386958,7.512238401036367,6.868238021707034,6.477182542817221,6.43991866016636
STMUK_p003,9.128352582110645,9.052735455702285,9.416862116212958,9.22265555717443,9.02671026838573,9.018736294032998,9.053206687048394,9.007266856078221,6.630719112297514,6.774560412200447,7.107265415093622,7.873590189854997,9.448715551080557,9.449160205084883,9.412730077251751,9.521395999049933,9.369589126726645,9.266738052779587,5.696736704639581,7.3452375500259635,6.656031162214887,7.608950091079662,6.225818289196763,6.220972748232084,6.097140979707507,6.82767805764272,6.397167129029684,6.412405001847075
STMUK_p004,7.580476589694019,7.375794869955222,7.368106028979236,7.384685123460285,7.487120279772821,7.401186580758099,7.587755065878486,7.396192642940685,6.0336865851407175,7.112308738569147,6.802235034122889,7.371536824164544,7.613797749278644,7.95957495640876,8.034403646494297,7.762409330561856,8.065243423001085,8.110011706151656,4.8413439810166805,6.701951055075344,5.749262789876226,6.771023218395252,7.5193212066339665,7.631709135612531,7.62515083485215,8.144781390952065,7.691234876250639,8.030439072508525
STMUK_p005,7.733408953521626,7.648760525311068,7.850563723241077,7.659076287624435,7.551302902934677,7.737574436175899,7.749500456043642,7.877332525673811,7.327482949639035,7.806998235844166,7.967075114816976,8.104694162416665,8.307700643534188,8.518718696144177,8.631872634948607,8.594123305829507,8.65557774379793,8.893955791025864,3.6712418641727336,5.678101298339095,4.251897756849656,5.472748341042024,8.3713889670326,8.55926096251776,8.452153811117528,8.869443454700406,8.468947036558639,8.802039552375712
STMUK_p006,6.278702099162713,6.004042956268471,5.707222526711004,5.924698603775158,6.649538241168493,6.449441248010756,5.87753681911934,5.638393817504183,7.071173123369452,6.2419895019069145,7.147587210402394,7.879831214236522,6.506713461608294,6.55405976759921,6.95831238020292,6.912037774434832,6.901361072732577,6.952405546555893,3.3165894219568344,5.477848041099398,3.927416368896212,5.119723050746762,7.803158114789896,7.677133570970324,7.694161375466359,7.951895866847714,7.665443724573941,8.039808142733877
STMUK_p007,7.156763529031464,6.787613772006873,6.967957784100038,6.796746562549275,7.077501406963845,6.9468157956744125,7.003823776227515,7.119701002813756,5.914596810783682,5.97386062425824,6.429842337956748,6.007550431963333,7.459451926664525,7.431926706704413,7.652983361248484,7.678159211363253,7.752730186808871,7.962487081459548,4.040901106622924,5.68890000090088,4.785805052961759,5.756110334189175,8.154504713483519,8.209842453714638,8.083782909760846,8.194127899586231,8.06683737303489,8.26021751460808
STMUK_p008,4.900285956328845,4.370040276343989,4.730081647426416,4.47758253266436,4.866890324733971,4.845063814523513,4.3568061534126254,4.566608719235394,4.461823939475773,5.0202287425823595,3.2867262014336682,4.994700510148096,4.730031646266504,5.245019630346776,5.362519261467249,5.208131665693646,5.3220487607567994,5.4497289896268475,3.0470308543035163,4.765102329222384,3.6619773168662926,4.143871756962316,7.705754628151541,7.6503145002231,7.6845116800713384,7.742312123855468,7.488541731766153,7.942630766361446
STMUK_p009,2.4079530485145457,1.7754956923888983,1.6921554120601485,1.8074208940204408,1.1628297858863699,2.0634320008815727,1.811586502330394,2.5665844946886125,3.029982239960973,3.378624307951297,3.1632976569717037,1.3753961746959253,2.16377078603633,2.1138323758789497,2.402311279373432,2.692442171493755,2.7879922809333006,2.8289291915905745,4.104152091054945,4.337193349238864,2.679100441730327,1.8651963363153756,8.396256047620401,8.35965516069394,8.421435843411043,7.9451023434373225,8.036963078120522,8.295500443360536
STMUK_p010,10.022410899782967,10.45882521234309,9.854596995190494,10.56669525916106,10.25721704357514,10.08439375831961,10.250479307177484,9.55261360930469,9.82308330099663,9.915815501995297,10.976471173574193,11.20244796508513,10.690458146304898,10.460365129513914,10.533416013838767,10.56529925721022,10.515738348843291,10.337565884720897,11.324717338222664,10.603774376644074,8.823924324755872,8.006660804179024,9.595872893509505,9.751454370027798,9.736912841849525,9.75045312605274,9.789695829755363,10.07606026448113
STMUK_p011,3.9576199450501717,3.0765438824415585,2.5341661419901365,3.455784772365748,2.9713038789468826,3.726785532945549,2.69185058986132,2.887259211844443,4.216778687473769,4.589447186441217,4.7355135557701225,4.923686270749343,2.398335592749075,2.4030199761061555,2.5901408223735665,3.0329636293098043,2.686350368781142,1.1691843817455252,4.310896595367692,4.288370226405287,4.122371580493308,3.310444241503697,5.760843342104235,5.581256481303771,5.603195316042716,6.330689761552129,6.000119752684606,6.563329614306378
STMUK_p012,2.301610777294873,1.267371699890355,1.6875571586166653,2.1446592361059174,1.9164067922236574,3.2351752603552373,1.4349179200980389,1.5588204791533478,1.8779843178831421,1.739577099972265,0.0,2.192462177046291,2.580303722074819,2.3851958241868076,3.4831056799489226,3.284080028009155,3.5581463373985183,3.4090431401053287,2.107115019711679,2.2331086602798047,6.919264167988186,3.205057455799172,0.2177216854889593,0.33942860818131637,0.3499470425816366,0.13846428691475193,0.3740125272296388,0.13013075935582663
STMUK_p013,4.26762099189221,1.6613729737149083,3.7493029250877776,2.9438544767105097,2.545497404609835,4.621076684603542,1.3378076092278424,2.5478078883353668,3.292352786601127,2.377235899134998,2.3207213083937184,1.6482996700284454,3.032918336125745,3.653761436388002,4.433495040118768,4.789177460417153,4.298067440355034,4.899029221572495,3.1332902268393057,1.7145161573743346,8.118695365198588,3.5861148555571125,1.067299423147022,0.7086503881145088,1.1575449255959942,0.3459407928765928,0.8448965332184262,0.22562428442992008
STMUK_p014,4.7417712855322875,2.7104869117994252,5.187203021608197,4.3621059640067825,3.817346364532968,5.329480724138506,2.2317270661077857,3.2127608194278463,3.7511449329010516,3.6070785476188236,2.2703039066788477,3.468451339398251,4.081449578089082,4.586779229817128,5.435092064362005,5.327355691238962,5.059466851712757,5.4450095180441,3.623939160742016,2.1386377418905957,8.474987829060675,3.8303400553246822,3.2445241919128,3.2850888809157124,3.577477560990651,3.2844558127070935,3.4895327800046614,3.610430187925979
STMUK_p015,4.81276129237383,2.395105961803835,4.959945430212393,3.7715750664079435,4.299102315006868,5.633982881465574,2.72946278067381,2.9601200375851313,5.333136760387271,5.100730819359381,3.0966997150750832,2.595683675577566,4.490348126881393,4.6323048140135565,5.110068590199578,5.409145129357596,5.190191944331764,5.471133656646631,4.997468997372075,2.7623245398544096,9.271619875177478,4.257026033545955,4.645346619115639,4.53976012766969,4.535022436780048,4.379186521238197,4.58472364681701,4.573109421379656
STMUK_p016,4.21422327724043,2.746137032693325,3.758593955739203,3.7982476045704194,2.365533444846668,4.205023159563314,2.276743809880259,3.015379318695678,1.559906833410242,1.7591149482696213,2.679921846358219,2.9880479824701203,1.3656325319244336,1.8209569613508043,1.9083987106011548,1.3538445020704366,1.6510750255025992,1.4111763623709626,1.733781733623033,2.597840129436325,6.142246506823636,2.884831326251887,0.5009706172426552,1.0666398574818614,1.0469246583659817,1.0705857983903229,1.5556097817626642,1.2889201552993859
STMUK_p017,2.6730555797745468,1.8162388996406271,1.5436863767218847,2.1736984829245762,2.224631509034022,2.2599312984446955,1.2564255251668877,2.1782462478815785,2.8385233447511813,2.898321894917315,3.9914453875171043,3.694224054694461,2.2224829249872307,2.6902687302363693,2.521993006571749,2.4291317703922473,2.4477422682332795,1.8241580788331178,4.757181531156969,5.728319580869657,3.9171757325476184,4.310220279939253,5.786528875894854,5.717729205474929,5.860510664778246,5.536792460464923,5.605914873463032,5.80269345831704
STMUK_p018,8.052241393523701,8.758325766559057,8.614358341967304,8.368196428950114,8.188822869875935,8.59313386551984,7.664051714408435,8.102535350813733,7.612261761102056,7.293292978965425,7.880675991813252,7.858620396301687,7.429113858738658,7.518956799463095,7.685732173867273,7.620002896247889,7.494867826044248,7.609180280360307,8.019888450320272,7.8151696612540205,7.741013373339959,6.624369462301535,9.260550776169742,9.44698464129935,9.269435618948382,9.696489659398562,9.385063310430574,9.71471687185469
STMUK_p019,8.382620859403598,8.817723139884485,8.602719204167768,8.712619140183515,8.342296054128214,8.657869259075373,7.822823144322635,8.135387186736786,7.462729736569533,7.390912436426175,8.066928302296622,7.981715430180044,7.931741803252317,7.962998979303636,8.300996068527645,8.257787661845342,8.329933492617181,8.42361224553337,7.773766435651224,7.924037695542954,7.683476130700111,6.61971057027659,9.178513825197808,9.372857782544555,9.277257319017401,9.813869978943456,9.299706466944896,9.554477617798778
STMUK_p020,8.369869275491585,9.230113056760395,9.044628055665552,8.881803234612972,8.736044965978667,8.829794738046102,8.04837572547809,8.253248911638256,8.120844197240858,8.031266246301733,8.938188869381548,9.243131203873586,8.153336548752122,8.206513729682921,8.687124933383105,8.587384240327694,8.7211564326751,8.78330448118807,8.707352721049208,8.859077970589894,8.829848811941241,7.954458047359637,8.743112198802978,8.946893263445698,8.849924180070401,9.617411986370918,9.062255529979463,9.26612305399506
