Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
STM14_5526,-0.0022396834784435857,-0.008125356195812278,-0.002226571340193268,-0.004239644363234809,0.019185842996780098,0.009424761666773687,0.007084786430422508,0.001747068723974038,0.0014179899836037793,0.0018251366113000852,-0.01644615205186672,0.0038219950152691,-0.0018394211305036334,-0.003994518021538667,-0.006619014866431698
STM14_5527,0.0017466519993879354,0.002165407200793908,0.0005611496808220359,-0.0054342035245141885,0.003372965473005682,-0.012802444539762134,-0.0002606680557770881,0.0008032238470536024,0.0049622065595372085,-0.004608261460731004,-0.009717854885728749,0.008136719472562764,-0.007113512143279432,0.002285419997680857,0.0032260151779715477
STM14_5528,-0.016409225093755333,0.007136621585103011,0.018329005025012963,-0.013930143589011965,0.00699556758938635,0.03332656533918063,-0.017702661301485657,-0.00369443286816642,0.01863830512262419,-0.001812955782229072,-0.010635320128030064,-0.009802796366766914,-0.0028127159627741993,0.000723925909442002,-0.015743816914565528
STM14_5529,0.0010717575981823314,-0.002286608615372209,-0.002523446885005901,-0.00040744803240027694,0.011185823426843947,0.018123385615911848,-0.005202467608394229,-0.005702168538224479,0.010588674372338864,-0.013442148443245865,-0.0118243613276256,-0.013844004545278963,-0.015123182904105376,0.011868140545793578,-0.019798068874843897
STM14_5530,-0.013408187328195407,0.005580164933851911,0.013328434461335699,-0.010237262638662899,-0.0017430534250236142,7.591499509430839e-05,-0.003830350974324025,-0.007847871187613667,0.015407240007865976,-0.014720742153964114,-0.0011820087611495826,-0.01904095034530989,-0.013663623190011402,0.0020314919745174458,-0.01328786629824713
STM14_5531,-0.008204640627853805,0.0047858412428342665,0.015348240358359551,-0.008171950540783332,0.005826581019091556,-0.015056758225576193,0.0030459877316718655,0.010079432861262186,-0.009135065018726537,-0.014869761481506469,-0.0021112347354997263,-0.00287561351856356,-0.005489300711226739,0.01465225699574401,-0.014030104577632135
STM14_5532,-7.677746972000508e-05,-0.0018271634148503684,-0.006425193264545018,0.012387187790695814,-0.0038611227912649405,0.0018908122974157244,-0.004201366408971007,-0.007128519515377221,-0.006398343199440664,-0.0012927736546595688,-0.008815726155424315,-0.0049597668461599945,-0.0013835401549766489,0.0013430073445554627,-0.004159299007756934
STM14_5533,-0.003130680864417849,-0.004386819192657198,0.01395361386138459,0.008488172954566699,0.00015594647107825406,-0.011747271453267111,-0.0003478498469700973,-0.00853590698398963,-0.003822315688836811,-0.0075414971720122945,-0.009350953392105423,0.0024205473927108433,-0.004271341577407768,0.007720282940983662,0.0022161006753295275
STM14_5534,0.005648452185590612,-0.010515149448557326,-0.020147266290996158,0.03015688271443397,0.014865914818738047,-0.01235186517788327,0.003018411825344221,-0.015050755613915725,-0.004466238945282833,-0.008880815864594813,-0.007939457126235427,0.01705691319940417,-0.006374158721224374,0.014532289498893868,-0.017673621902126773
STM14_5535,-0.010524615687530669,-0.00677990896233913,-0.009736304120723816,0.01356496869444761,-0.006713253518081278,-0.021228700982761375,0.008437385801872177,-0.005940833079708295,-0.01915469998835922,-0.0033565814273742883,-0.0064312834890236335,0.0014630320000720736,0.01001042407829783,0.027790489228782796,-0.00029880398909823907
STM14_5536,-0.01746237174297095,-0.0035642306013255365,-0.003078229113273438,0.01649822310447715,-0.001293531498689148,-0.032578707010325274,0.009932864454797859,-0.0023129551255221007,-0.015643535341458667,-0.011494233451481697,-0.004764166721870703,-0.0014394286481858628,0.013919728144998844,0.03405333920673062,-0.0011147458929114974
STM14_5537,-0.01961325710302353,-0.001832844279646704,0.009952163843457063,0.009133585616811976,-0.015095164741259397,-0.024196141741100206,0.003111988013310515,0.0036671131451940704,-0.023539799775441423,-0.007707916728915394,-0.004310075521771163,-0.004657099813002823,0.009484379785590288,0.038394615394402296,-0.005271433945667645
STM14_5538,-0.02214286316633103,-0.004875112502806072,0.0050905090156119345,0.009960693803304811,-0.021323990354751635,-0.018150420577051515,-0.007602516397583856,0.006716880463851997,-0.021568485540983985,-0.0052929840203422415,-0.0030015714100744325,-0.009211218312244094,0.012604104167198933,0.03542144612145424,-0.0016119448033451852
STM14_5539,0.00346059181960616,-0.00432930384423034,0.0325387559812413,0.012479976712777625,-0.006048127990439462,0.0009265482038393863,-0.007451183588050871,0.0009151892645635855,-0.02380774028654238,0.004001265496969922,0.00016560951558077324,-0.005652302063366132,-0.009361246232615349,0.018094573188076005,-0.014071038370771756
