Geneid,SRX3471976,SRX4665695,SRX4665685,SRX4665673,SRX3471978,SRX3471973,SRX4665700,SRX4665682,SRX4665670,SRX4665701,SRX4665699,SRX7268193,SRX3471974,SRX4665686,SRX4665679,SRX3471975,SRX4665690,SRX4665681,SRX4665687,SRX4665676,SRX4665693,SRX4665692,SRX7268192,SRX3471977,SRX4665684,SRX4665677,SRX4665698,SRX4665675,SRX4665683,SRX4665696,SRX4665694,SRX4665678,SRX4665689,SRX4665697,SRX4665680,SRX4665702,SRX4665672,SRX4665671
STMMW_00001,11.668857006901815,13.474756324329114,14.412936796479244,12.740828625143216,14.444091696035304,10.475907353934684,11.789751083216975,13.895660324571068,10.556424559515653,11.18214351592166,11.926490113350074,11.001581521725972,14.412956858563636,11.45585314830153,11.736448023843222,12.414720382566685,12.143829623572232,10.47593650642516,11.961000697756765,11.791510370649966,11.895051878137489,11.771380669352554,11.582320260892196,15.307312668641696,14.196609320459473,10.589825184633776,14.816544234303743,12.017073291859198,13.892998293352418,13.295673623871783,13.759222404513476,11.771301837135015,12.346716134887854,13.117011232293422,11.869648730768061,13.4126629750281,12.866833935074835,12.85559428319419
STMMW_00011,4.583425213635467,9.128418677908801,6.282538155734372,4.761854104068183,4.519109219009511,4.5682043725512855,4.363049909331658,6.932986401478147,3.242007789209977,4.017578596012995,4.744954813163761,7.852767307415539,6.2825579610111335,4.087721367881306,4.6294682002274135,5.896361790321381,6.987887707573317,4.5682323157951705,4.0214749855056215,4.316708429595862,5.1189740003343225,4.2459798552081045,6.955288166385134,5.361632100612278,7.179308154489747,4.649515341095718,9.11196294712558,5.03040827403993,6.709056046292269,8.545488517761328,9.31281804798813,4.840729821819567,6.1424990780605135,8.332129210255454,4.7571508088481815,5.824985112322151,4.5030828053105045,4.836130244836412
STMMW_00021,6.470036813984216,9.379213664718543,7.8897665005604125,6.1249442774609735,6.656332737290483,6.200543093673189,6.523034795439442,8.167366694560599,4.578661124254303,6.106400058113617,6.5507973747599575,10.700368643930412,7.8897864789711285,5.646631684806517,6.831553083460197,7.01286067074422,9.878980432566204,6.200571869979853,5.347687721098321,6.014791917501941,5.792792420809034,5.276784516453599,9.76027412367385,9.348288525065666,8.263870736469674,5.378986388088174,9.954514208140926,6.090095214431676,8.277240970990896,8.930169292853732,9.643088658577208,6.552933375632433,9.185107339929578,8.879841266949763,6.194411009645233,8.176467382383903,5.892081566098487,6.0710785905601625
STMMW_00031,6.104151021817044,9.355393237707807,7.874579433199165,6.024180373648707,5.3061236119901976,6.3260287445284495,6.549729793477975,8.077274512437738,4.757488887452007,6.148501683844506,6.377273656963324,10.697058006668014,7.874599410714673,5.490821789600487,6.424418625549756,6.825508017317934,9.737383050347725,6.326057553879365,5.101481626331736,5.84412890313526,5.753155706811281,4.701387642809856,9.625336862189323,6.190660008610486,8.264828128679882,5.213446918242617,10.048604148419688,6.296594186856144,8.249195711205129,9.03233148046312,9.493693363929516,6.3114296069887015,9.000802692551037,8.607962569408551,6.051570237880753,7.957258426981821,6.049563388752116,6.321054835136094
STMMW_00041,5.1217095088738915,5.9277617419432245,5.843760895180009,6.8142128024793776,5.0573569334516035,6.478263890285871,6.527728534151176,5.286203458963115,5.078005480238971,6.137915075870778,6.448451078289333,7.224281151325668,5.843780608846265,6.2503198292598094,6.695050019879004,6.504157038999853,6.714617162533293,6.4782927360517775,6.670176323325306,6.550730742907809,6.682968005267157,6.049489495021354,7.262182438833129,5.3657246347127705,6.1579028086228975,5.766779570497099,6.579375946281664,6.881994738677378,4.865376962419774,5.446535925876727,6.214816871310442,6.47579606088722,6.783222781284436,5.986537357692376,6.370712626632247,9.78354772460644,6.627367608659716,6.90786876547807
STMMW_00051,4.147553744768824,4.583097242514839,5.244798949795312,5.652041870786446,2.93181044036241,4.960515904991203,5.49324287290854,5.446232956176809,4.388534725801863,5.2382390113894015,4.5104132441418745,8.70403261358488,5.2448184836830505,4.848835278528591,5.271737239413743,4.901462084036496,7.046824691120196,4.9605441410243465,5.250049254646061,4.710557614867045,5.576971166246589,4.938221058240779,7.6930876765463045,3.619371385945931,5.3545400360207696,4.708063320852785,5.983385361145978,6.041992716354415,5.5174584281345656,4.238211470601664,4.797573292413337,5.438799522370188,6.635486028675202,4.185824072616912,5.199187223938235,6.625048567608867,5.341272462252259,5.471126325743656
STMMW_00061,7.784568299299152,8.63261027217326,7.850441794302801,10.359203563309787,6.276269109308634,9.171927945771843,9.356326731447858,8.520882751571879,8.256792429625106,9.162100441030748,9.45067020204747,8.558171717579262,7.850461770375973,9.183560783926163,9.18319668510942,9.060369082460733,8.178510581635567,9.171957068169537,9.852828849076547,9.358996116962297,8.32516520369596,8.68695530966363,8.810827793223709,6.24983752920972,8.88807433023101,8.321636213642213,8.986196398360605,10.075546450850783,8.316386462877585,8.442392213033107,8.78605843037188,9.046192796043162,8.499096576961009,8.432204761691077,9.096750426530447,8.383705473776308,10.256293016839374,10.508583167152372
STMMW_00071,6.608659198418647,5.625302802054787,5.671680278645196,7.1214746231359145,6.236658394585746,7.436354307116133,7.767289283286478,5.388979236674082,6.550803747413582,7.118189235347552,5.9697479920353675,6.3742323049770215,5.6716999480565615,6.682154194470412,7.517589633550688,7.076154153771273,6.5454313646636395,7.4363833116639855,7.297020180681995,7.172380913986748,7.068819824043706,6.8365707766817065,6.613569935346142,4.264828740604882,5.191715107493594,6.5042732104658265,6.1707837073898215,8.502919744770402,5.532678429111606,5.818194316814897,5.677446004090202,7.017992754543022,6.557477596830928,4.8890458631957685,7.381381061161008,6.8429207620280375,7.004439154782604,7.154818163686553
STMMW_00081,4.216123515503612,4.7314073608588485,2.7801374985804945,4.055980718956452,4.6881813561352885,3.95749505597556,4.122047667487639,4.144289174015526,6.926592256891529,4.202722050922426,2.584900583839763,5.820383580490725,2.7801546408735147,4.4813349282156265,3.8743775442775066,4.892249596652593,4.8898629759549035,3.957522351138978,5.023446270318352,6.067792715545052,4.132167890007501,6.949576843819117,5.6691155410697815,5.05351895927892,4.370454350823658,7.770115120744981,3.982764976492152,4.7627870340269665,3.2902790440376988,4.901307343873788,4.94235512726425,4.157675699395061,4.7844921843880215,4.667727329765705,3.111639772739233,3.753335586917857,3.5187858652973296,3.9329276270847
STMMW_00091,2.2751302320223616,1.8372798721329355,2.7710451524879187,2.677530775751461,1.8300998534917772,2.608890454516496,1.752625577683711,2.2265295494637902,2.060920947407544,2.0758647216367487,2.738114269230965,3.239771751276006,2.7710622763154964,2.0974196213992875,2.0893830880410884,2.839788824363381,3.010835110365547,2.6089148453457374,0.8753608463306982,2.323570883968974,3.285970121167641,2.8377734212025545,3.0657067946558896,2.0973531438481103,1.9101595458600016,2.2565834192925154,3.745695591041452,2.917870862767898,2.8284088418938658,1.677835642084518,1.738236773998017,2.4991741260099607,2.77089142489959,2.0058417361919534,1.4961994784130532,1.7985632587899816,2.885732383770774,3.3848069076193537
STMMW_00101,2.8389529358798367,3.1803550563261056,4.1238067836983285,4.685996126638074,5.101834418852206,3.0996271012190344,3.6425534901766414,2.904546508538687,3.1424564918332885,2.1380876879905,3.3218612245406605,3.2988630112654067,4.123825695892594,3.535984616237985,3.2644483831960027,3.567832334081147,3.216926933696976,3.099652870925867,3.973734489027189,3.620472857857998,3.8962160526380063,3.8630387823795695,3.4480660313525244,5.00980953460758,3.626128176493777,3.1924844905618768,3.889732629522735,4.03682878952783,3.3536288741374767,2.8264698044829033,3.5267851119822744,3.492518864093117,2.9501839969530548,2.6593539912109625,2.8915478098311262,3.8186215506980536,5.166994850536219,5.146256000218191
STMMW_00111,6.818011850598597,8.630885510198215,6.836315570204411,9.693955181527432,7.712474046179374,8.252406889082472,7.870430193380248,7.930040635514855,7.022744195236582,7.495311583627876,9.514348156075428,9.508781466524018,6.836335457635872,8.003881601690916,8.830091283205604,9.297677209299668,9.684599979588695,8.252435966391635,11.311290166454107,9.260440040062232,10.760090872000449,8.866922056739051,9.079590626704418,5.603881266745908,9.265380987613645,8.61042981665954,7.874197262211659,9.319334506767367,6.241964989531788,7.068027608499517,8.810687473745807,8.899809467951522,8.925801036910743,7.87054051638862,8.838198141402671,9.564376759243943,10.029287552409745,10.558541382327027
STMMW_00121,6.635160968715741,7.565245121237808,6.8017093139383045,7.94702185830949,6.736620143999035,7.400533961752398,6.702534236158062,7.117197490328728,6.584642990646873,6.462959009495221,8.24804077564433,8.427787745903759,6.8017291971073455,7.049341917974327,7.607712388253919,7.891597306457722,8.605099796857164,7.400562962066081,9.328229803633599,8.351585385880313,8.965561329478222,7.7486552828274515,7.925266410162412,7.5850139695399115,7.806535551910068,7.348548950625088,7.096580383776183,8.261940048251871,5.409382190207396,6.61210546955255,7.610647271155341,7.519863748538468,7.745670699874535,6.900556775733596,7.480101422239258,8.066224372248607,8.187814604124293,8.459461536820234
STMMW_00131,4.461796732471555,4.534881805029472,4.946641247153742,4.642999415142784,6.193377513306588,3.7586323392800933,3.1749697950855467,4.843831592241049,4.223562421835232,3.047270459668861,4.176939260031691,4.356305154500991,4.946660659570479,4.317326022809306,3.0628374341416484,4.728666367335836,5.876633973564704,3.758659356915627,4.8406444098736445,4.768049551888831,4.330553748610492,4.866607001317376,4.376055532931066,6.201873779001228,5.411161423283841,4.880634664443307,4.107641036319601,4.485500585866432,4.227226639829643,3.9259186279171625,4.553590267388795,3.4112341130257224,4.9661522323877,4.699823071106006,3.2061762788460144,1.926130135543976,5.055252885251597,4.733918464090959
STMMW_00141,4.716389859769338,2.5195372529840867,3.56700993712284,3.605338471110156,5.5871321063701735,3.662957172498013,1.7874899087399216,2.8263782302938343,3.9490350485526604,2.6609578849630515,4.217834722652864,2.8091905763195304,3.5670283072858067,4.255400064073588,3.8555516182770164,3.781020552735537,4.955838371897634,3.662984042351822,4.0481361068292046,3.834314890559351,4.387383511210862,4.473146622615731,3.4017476538711695,3.9309117268358063,3.1063280733442844,4.199895248752012,4.411646807582663,5.458581235571843,2.6810016281538465,2.9074288307227434,3.1792633080951487,3.0397039089183937,4.525634510104953,3.0239718424841446,2.864152848700602,3.7891830817987424,2.6531698323341733,3.938777644282878
STMMW_00151,1.737280581111522,1.3387014317686037,2.5043432970169244,1.9585851942768524,2.0269255993876327,1.9528530647082532,1.755472651731154,0.0,0.8862639492372206,1.6553530428820888,0.8142533698609604,1.9348526981059988,2.5043598240310985,1.299608011446724,1.9642320798363675,2.102358665436729,1.8568958755709868,1.9528747022168564,0.0,0.0,3.52783525850244,1.2450806682118531,2.225231637573793,1.4614439115408302,0.0,1.9285840531891656,2.998012446261475,1.9717888484414652,0.0,1.4225013346813815,1.9171232968436585,2.039533555139624,2.0782627419553483,1.4480558091661253,0.8572648249390757,2.10911485782252,2.8035391957380247,2.1269155950667167
STMMW_00161,1.086017847196603,1.25060500356467,2.507017454075251,0.0,2.232273112238466,2.7250493586574467,2.7476304185568186,1.7515404154042362,1.0146072935030035,1.0245506052583415,1.4978577736941272,0.5104176214335177,2.507033987637618,2.6493125441662704,0.9050240374176172,3.1576366041945536,2.258392269500131,2.7250741194298764,2.329335691478104,2.461820672295398,4.7942352565306985,2.758793171119774,2.142805932168877,2.3836883721758317,0.0,2.678346962128041,2.6446743484736186,2.6490229740352835,0.0,1.8182064096174315,1.6263034731280697,2.725226208633585,2.465279715040416,0.0,1.561804230834385,2.3179047855464847,2.61789938688826,2.336424564208913
STMMW_00171,4.543266496957974,3.5476627990671625,3.5233728122103165,3.8839999924180666,5.024205420944185,3.9637597161422886,3.89708208574589,3.2107119400683324,2.7707777311659734,3.268748225900349,3.7379269908864834,4.374592234163652,3.5233911303877314,4.004734805592882,3.961114607213671,3.5716017894872443,3.894292418957485,3.963787019442112,3.592759673351845,3.45182291546732,4.3466721239641535,3.643732255942546,5.128861172128573,4.381694138829008,3.883205641977662,3.667348998834647,4.984438464335895,4.813799844951389,2.7925502561728504,3.1372925888800216,4.008299981188162,3.9483996059165567,4.681171457745681,3.5295943055781747,3.3036743148814423,5.026972016744455,3.8766754646785855,4.2138137788143615
STMMW_00181,3.64134418266653,2.4036777032466,2.649461180991157,2.459615599757384,3.366719244730201,2.8614277037882037,2.4637399812719125,2.331410463479564,1.3286261802676258,1.8499865241764097,2.6170329320131014,3.5930508727496036,2.649478046380558,1.998170536608388,2.3240572885510598,2.749029624024287,2.9413728291748034,2.8614528625409315,1.993503632712216,1.4424171213045731,1.8084258056809852,1.7309778563448417,3.601017278929398,4.068759757541791,2.24001811484629,2.8681778002363245,3.9374174319016624,3.139305406479386,2.6781546037086152,2.175773971935023,2.7285160792494607,2.548542424228342,2.861769591281877,2.322944528312037,2.3360164922488638,1.9828197253261688,2.8864814348193866,2.897392830863877
STMMW_00191,3.4463081532283204,2.7637457834817045,3.014440389197456,3.762663744364122,3.660733300326112,3.6024695103311943,2.9259807897599797,3.201556254226104,1.5498247109817194,2.475042174949256,2.484269115368729,3.9972904971830014,3.014457969318108,2.440526317640665,2.1034043772143893,2.2456988872299304,3.935542798848616,3.602496281569449,0.0,2.9812346381208528,3.0165804512025987,2.211884614411668,3.6457876093780017,3.9019397044775963,3.2297670644875374,2.2710736395253903,4.13283008630606,3.300809034002114,2.180113788232509,1.950094545069791,2.583782000432443,2.1810289283217843,3.5585294862869103,2.7383524951748086,2.8374269908475465,1.8116270419329417,3.420696818740426,3.1131751615858896
STMMW_00201,3.2115340749500043,2.8858728105830656,2.8336166108813785,3.9255051319592513,3.7112225901168836,4.1074250293157135,3.3712699187943205,1.5536523922228656,0.8752466663452156,3.0336606224939113,2.637082868199329,3.5976953216095717,2.833633859459926,3.4675089221096047,4.2891461452637945,2.7375013050615205,3.899715228662044,4.107452509830062,2.1015708530884867,2.3823151462869543,3.996727165207752,2.1273077453384737,3.8053852027519928,3.9690619460570282,2.2101418279160336,2.282264537339687,3.9639768281452894,2.4090250712967927,1.7193163967730036,3.0767133879491744,3.732053654615852,3.726639548409164,4.028530308948837,2.312110964804361,3.697354385451734,1.3948797395725432,4.0846112273623225,3.7463153080651215
STMMW_00211,3.2242784590354447,1.755881853956916,1.1446980765535888,2.1262591279702723,4.405041013500795,2.1203086790395016,1.7919580109333182,0.0,1.2134306900131608,1.8773083371586023,2.6565887215936534,2.006325335293098,1.1447090654098635,2.140228590450377,2.306713611688324,1.8320742331943811,1.6969294553952634,2.120331142349238,2.8218811128920662,1.4142710467262942,1.4954778287935269,1.872964717581845,2.1298476870296272,3.5317124799928368,2.5306199518453623,1.8552158354352863,3.9945199520255033,3.3343795477701623,1.4917073182528455,1.7162966024595783,2.6771149077493965,2.0082067690272556,1.9718598859549687,1.4809361084275219,1.5323434333777906,2.2822116212326797,2.317647332356862,2.4805563785848155
