,S_mean_std,A_mean_std,count,L2_norm
0,0.00036953166612074237,0.40259970013907026,100,150.57975055053012
1,0.00024748159939099194,0.2772774528090775,100,115.9747188722403
2,0.0007204606583617375,0.6249150465276514,100,88.94585548959189
3,0.0003840567887984957,0.29537384859125876,100,112.2887164255371
4,0.0009935584509002426,0.7732006693806744,100,161.97527248134563
5,0.00014575000267082568,0.15516604393624514,100,236.02539395450768
6,2.1777392960466174e-05,0.017579569907004627,51,148.4342990586477
7,0.0009461977684438024,0.7437219401962577,100,145.23744346906503
8,1.8633799175148377e-05,0.014643307687071738,51,208.1823791894902
9,0.0005116598901089722,0.60733651354611,100,125.62920806441413
