Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX1638999	26005424	350331	62	7035447	0	0	0	0	0	0	0	0	0	18536047	83083	454	1.3471458877194231	26005424.0	18969977.0	72.95	7035447.0	27.05	SRX1638999_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26005424.0	0.0	20-50	49.0	14.524958041680641	48.7783137471629	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	26010997	14634032	26010997	1300549850	15726431	1268585337	2.4577691504866195	0.2887	0.6045	0.1069
SRX1639000	28976654	1402925	6206153	20584525	0	0	0	0	0	0	0	0	0	610277	163659	9115	4.841570044629722	28976654.0	8392129.0	28.96	20584525.0	71.04	SRX1639000_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28976654.0	0.0	20-100	42.0	15.706652214714667	86.8971806751739	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	28982303	23873092	28982303	2898230300	337825756	2535701681	12.508620139676273	0.5377	0.3392	0.1232
SRX1639001	25485985	1727475	4079343	18816236	0	0	0	0	0	0	0	0	0	657258	195032	10641	6.778137082008014	25485985.0	6669749.0	26.17	18816236.0	73.83	SRX1639001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25485985.0	0.0	20-100	42.0	16.72807718290102	86.11332903162268	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	25491029	21434847	25491029	2549102900	316891464	2210112170	13.298432558371811	0.49	0.3662	0.1438
SRX1639002	28121106	1335331	8474190	17491227	0	0	0	0	0	0	0	0	0	690398	123516	6444	4.748501001347528	28121106.0	10629879.0	37.8	17491227.0	62.2	SRX1639002_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28121106.0	0.0	20-100	44.0	12.729867996447942	87.78188930406935	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	28127758	21535942	28127758	2812775800	305743196	2484431281	11.673327074273036	0.5532	0.3241	0.1228
SRX1639003	19979560	150625	39	6330811	0	0	0	0	0	0	0	0	0	13459050	38734	301	0.7538954811817677	19979560.0	13648749.0	68.31	6330811.0	31.69	SRX1639003_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19979560.0	0.0	20-50	49.0	7.168801813446741	48.72437025640203	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19983922	12980698	19983922	999196100	11606721	973559012	2.5657714236474702	0.1132	0.6854	0.2014
SRX1639004	31925041	262953	5148686	26033054	0	0	0	0	0	0	0	0	0	398328	76491	5529	0.8236575169942617	31925041.0	5891987.0	18.46	26033054.0	81.54	SRX1639004_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31925041.0	0.0	20-100	41.0	8.481305510089255	82.51958022544122	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	31929611	28380736	31929611	3192961100	510292995	2653531206	16.89434594113909	0.4686	0.37799999999999995	0.1534
SRX1639005	21335127	151496	33	7548429	0	0	0	0	0	0	0	0	0	13602737	32107	325	0.7100777979901408	21335127.0	13786698.0	64.62	7548429.0	35.38	SRX1639005_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21335127.0	0.0	20-50	48.0	7.812054902817415	48.752379678827324	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	21339710	14125933	21339710	1066985500	11645311	1040208397	2.5096032701475317	0.1288	0.679	0.1923
SRX1639006	28095819	124872	5965400	21562772	0	0	0	0	0	0	0	0	0	412348	29399	1028	0.4444504714384728	28095819.0	6533047.0	23.25	21562772.0	76.75	SRX1639006_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28095819.0	0.0	20-100	41.0	7.933904467707597	83.64087774056347	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	28100708	24361329	28100708	2810070800	417968575	2366873052	15.771764469421909	0.5097	0.2956	0.1947
SRX1639007	18579759	2453664	9285437	4536249	0	0	0	0	0	0	0	0	0	1993464	291089	19856	13.206113168636902	18579759.0	14043510.0	75.58	4536249.0	24.42	SRX1639007_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18579759.0	0.0	20-50	49.0	13.561615368113804	48.901100816216186	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	18582566	11134224	18582566	929128300	7611211	908609237	2.208420839188732	0.4398	0.4567	0.1035
SRX1639008	27408909	1521922	7383029	17633988	0	0	0	0	0	0	0	0	0	703598	161599	4773	5.552654430718128	27408909.0	9774921.0	35.66	17633988.0	64.34	SRX1639008_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27408909.0	0.0	20-100	43.0	15.124695836477835	87.16468532184189	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	27415511	22168448	27415511	2741551100	312764977	2405825118	12.245840757810425	0.6293	0.2222	0.1485
