Geneid,SRX1392948,SRX1392949,SRX1392950,SRX1392951,SRX1392954,SRX1392955,SRX4340129,SRX4340130,SRX4340131,SRX4340132,SRX4340133,SRX4340134,SRX8537506,SRX8537507,SRX8537508,SRX8537509,SRX8537510,SRX8537511
STMUK_p001,6.398707595338782,7.505362090341888,6.548193403459932,7.095490154540488,3.1407185415316805,4.2824232701935685,5.959566763165414,6.016221006738171,6.7902190471728625,6.68909155898366,6.671725360626148,6.943796085371831,4.475391244961356,4.264369421698197,4.7373110144753845,4.07873497671844,4.693038699063875,4.397080984970643
STMUK_p002,8.237886613944049,7.830142661317277,7.327055954359517,7.619574582277325,8.528114654541435,8.840661429312524,6.617997774085466,6.672744203164648,6.816912831189813,6.861839482291918,6.952079560065775,6.772405390843067,7.4292669658599735,7.575712789386957,7.512238401036368,6.868238021707034,6.477182542817222,6.43991866016636
STMUK_p003,9.416862116212958,9.22265555717443,9.026710268385731,9.018736294032998,6.6307191122975135,6.774560412200447,9.448715551080557,9.449160205084883,9.412730077251751,9.521395999049933,9.369589126726645,9.266738052779587,6.225818289196763,6.220972748232085,6.0971409797075085,6.82767805764272,6.397167129029684,6.412405001847075
STMUK_p004,7.368106028979236,7.384685123460286,7.487120279772822,7.4011865807580985,6.0336865851407175,7.112308738569148,7.6137977492786435,7.959574956408759,8.034403646494297,7.762409330561856,8.065243423001085,8.110011706151656,7.5193212066339665,7.631709135612531,7.625150834852151,8.144781390952065,7.691234876250639,8.030439072508527
STMUK_p005,7.850563723241078,7.659076287624434,7.551302902934678,7.7375744361758985,7.327482949639036,7.8069982358441665,8.307700643534186,8.518718696144179,8.631872634948607,8.594123305829509,8.655577743797929,8.893955791025864,8.3713889670326,8.55926096251776,8.452153811117528,8.869443454700408,8.468947036558639,8.802039552375712
STMUK_p006,5.7072225267110035,5.924698603775156,6.649538241168492,6.449441248010756,7.0711731233694515,6.2419895019069145,6.506713461608294,6.55405976759921,6.95831238020292,6.9120377744348325,6.901361072732577,6.952405546555892,7.803158114789896,7.677133570970324,7.694161375466359,7.951895866847714,7.665443724573941,8.039808142733879
STMUK_p007,6.967957784100037,6.796746562549275,7.077501406963845,6.9468157956744125,5.914596810783683,5.973860624258241,7.459451926664525,7.431926706704413,7.652983361248483,7.678159211363252,7.752730186808871,7.962487081459547,8.154504713483519,8.209842453714638,8.083782909760847,8.194127899586231,8.06683737303489,8.26021751460808
STMUK_p008,4.730081647426417,4.477582532664361,4.866890324733972,4.845063814523512,4.4618239394757735,5.02022874258236,4.730031646266504,5.245019630346777,5.3625192614672486,5.208131665693647,5.3220487607568,5.449728989626848,7.70575462815154,7.6503145002231,7.684511680071338,7.742312123855468,7.488541731766152,7.942630766361447
STMUK_p009,1.6921554120601483,1.8074208940204408,1.16282978588637,2.0634320008815727,3.0299822399609733,3.378624307951297,2.16377078603633,2.1138323758789497,2.4023112793734316,2.692442171493755,2.7879922809333006,2.8289291915905745,8.396256047620401,8.35965516069394,8.421435843411043,7.945102343437322,8.036963078120522,8.295500443360536
STMUK_p010,9.854596995190494,10.566695259161062,10.25721704357514,10.084393758319608,9.82308330099663,9.915815501995297,10.690458146304898,10.460365129513914,10.533416013838767,10.56529925721022,10.515738348843293,10.337565884720897,9.595872893509503,9.751454370027798,9.736912841849524,9.75045312605274,9.789695829755363,10.07606026448113
