	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX1258668	14531045	9479560	242689	1664516	0	0	0	0	250410	0	0	0	0	1927746	876943	89181	65.23660204754717	14531045.0	12866529.0	88.55	1664516.0	11.45	SRX1258668_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14531045.0	0.0	20-101	50.0	37.020078131014884	94.69044008878922	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass	17427397	8242100	17427397	1760167097	131900218	1441591007	18.09919584015494	0.3492	0.2002	0.4506		
SRX1258669	17785728	10760840	67628	2025838	0	0	0	0	171996	0	0	0	0	3767086	919321	73019	60.502668206777926	17785728.0	15759890.0	88.61	2025838.0	11.39	SRX1258669_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17785728.0	0.0	20-101	51.0	18.561300451542014	96.64858531514706	pass	pass	warn	pass	warn	pass	pass	warn	fail	fail	pass	20162622	8440820	20162622	2036424822	126223817	1779377944	12.62245849800391	0.4281	0.0859	0.486		
SRX1258670	17781925	10303554	81964	1821589	0	0	0	0	243541	0	0	0	0	4386329	886732	58216	57.943974007313614	17781925.0	15960336.0	89.76	1821589.0	10.24	SRX1258670_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17781925.0	0.0	20-101	51.0	28.390305864267727	94.74227014229336	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass	20058129	8072973	20058129	2025871029	169303926	1721104336	15.043736182477385	0.3702	0.1453	0.4845		
SRX2195704	5176989	780800	3819578	73025	0	0	0	0	0	0	0	0	0	444032	58048	1506	15.082125923002733	5176989.0	5103964.0	98.59	73025.0	1.41	SRX2195704_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5176989.0	0.0	20-51	53.0	10.803920650883608	50.389264300155936	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5195082	1898549	5195082	264949182	394907	260966238	1.5032860150517469			0.4931	0.4581	0.0488
SRX2195705	5556843	3190738	66293	155170	0	0	0	0	0	0	0	0	0	1829525	309327	5790	57.419977494415434	5556843.0	5401673.0	97.21	155170.0	2.79	SRX2195705_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5556843.0	0.0	20-51	50.0	21.388997280824068	50.25645388937568	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5946458	2489648	5946458	303269358	423365	281330794	7.234019336698037			0.4937	0.4501	0.0563
SRX2195706	6042564	2437930	21635	631944	0	0	0	0	0	0	0	0	0	2674301	271807	4947	40.34595247977514	6042564.0	5410620.0	89.54	631944.0	10.46	SRX2195706_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6042564.0	0.0	20-51	51.0	17.758236160113352	49.60725413913696	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	6174380	2642393	6174380	314893380	415927	300597836	4.539804552258291			0.5419	0.3937	0.0644
SRX2195707	6526880	2689283	23849	630138	0	0	0	0	0	0	0	0	0	2872892	305230	5488	41.20319356262104	6526880.0	5896742.0	90.35	630138.0	9.65	SRX2195707_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6526880.0	0.0	20-51	51.0	18.84815336754461	49.516843729316314	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	6914006	3102295	6914006	352614306	457566	325538966	7.678457606311638			0.5375	0.39899999999999997	0.0635
SRX2195708	5585889	2834952	26754	228053	0	0	0	0	0	0	0	0	0	2161703	328938	5489	50.75202890712652	5585889.0	5357836.0	95.92	228053.0	4.08	SRX2195708_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5585889.0	0.0	20-51	50.0	20.80647131112316	50.18266528389662	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5621781	2063307	5621781	286710831	423037	280541926	2.151612123784748			0.5338	0.3998	0.0664
SRX2195709	5677556	2781286	20007	282181	0	0	0	0	0	0	0	0	0	2253885	334889	5308	48.98738119007545	5677556.0	5395375.0	95.03	282181.0	4.97	SRX2195709_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5677556.0	0.0	20-51	50.0	20.297839729604565	50.05394099151113	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5780094	2216707	5780094	294784794	406819	284808046	3.3844174472581514			0.5447	0.3926	0.0627
SRX2195710	5748388	3344149	14837	144618	0	0	0	0	0	0	0	0	0	1943352	295609	5823	58.17542239667885	5748388.0	5603770.0	97.48	144618.0	2.52	SRX2195710_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5748388.0	0.0	20-51	51.0	21.372531216086358	50.25801494262392	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6277633	2564147	6277633	320159283	479314	291562029	8.932195790805789			0.512	0.4416	0.0463
SRX2195711	4964653	2837029	29724	131973	0	0	0	0	0	0	0	0	0	1662676	298338	4913	57.14455773646215	4964653.0	4832680.0	97.34	131973.0	2.66	SRX2195711_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4964653.0	0.0	20-51	51.0	22.74903289537794	50.347949393442	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5072000	1852806	5072000	258672000	376019	250519493	3.1516774138677555			0.5174	0.4314	0.0511
