Geneid,0,1,2,3,4
STM14_5526,-0.009693114020741512,-0.005809497556559342,-0.002238700161092278,0.01482357745858249,-0.0069670051244767675
STM14_5527,-0.005424567353004827,0.005914185801236961,-0.0072114809245594005,0.0006878647291835491,-0.0012787852027653552
STM14_5528,-0.002497709768745041,-0.010760369312609227,0.009939085025646208,0.01670432008573134,0.004442224781773759
STM14_5529,-0.002895078157426499,0.0032351404303986955,0.0077726316819443095,0.00418789064760676,-0.006332316506573357
STM14_5530,-0.0009287301784981256,-0.0046799280362279545,0.006563174291475881,0.0030699638279827125,0.0034948949323785235
STM14_5531,0.002852735122173142,-0.011041128143004982,-0.004252400255854563,0.015247681987640975,0.005429687189690494
STM14_5532,0.007849274191087613,0.0007740733164454473,-0.002231285613222486,-0.006038786022010115,-0.010619145204460511
STM14_5533,0.001966353405035581,0.004783329189555605,-0.00977912883970981,0.0011600874626161684,0.0029503877149016366
STM14_5534,0.004739188815871932,0.01555195233629496,-0.010066230958895674,0.001799646754053315,-0.007548967063786452
STM14_5535,0.0100858342872296,-0.0026202268042137744,-0.0027588462754221965,-0.004344316496089919,-0.0053811187471829135
STM14_5536,0.01339037738514443,-0.0011540207500494457,-0.0052775035321123735,0.005296377425819068,0.0015976969695279996
STM14_5537,0.014516481085696482,-0.009317214100781087,-0.0019322248316867257,0.00388430819196122,-0.0007653966704543209
STM14_5538,0.01267596217483989,-0.008891924538150055,0.0004681773828196274,0.00033786906889050216,-0.00595699961555018
STM14_5539,0.010818744646855403,-0.0028350872077615376,0.003258159136623342,0.007274552247574466,0.0032918409830020607
STM14_5540,0.001607131797723299,0.007561271092898994,-0.003121031663643026,-0.004140801621433337,0.002907244762135705
STM14_5541,0.0015147064286101985,0.005770635211227345,-0.0053194776298015,-0.0010572711996332553,-0.0014725877007089935
STM14_5542,0.00575862071972278,-0.0009509973192896553,-0.006376222197491581,-0.00019978081557892483,-0.0011666910053345191
STM14_5543,0.006641461939436993,0.021823971719228494,-0.007208362323424631,-0.025213102018063382,-0.01936003127313351
STM14_5544,0.02008499834295789,-0.0074973129046042334,-0.007718455952579848,-0.005672152138393418,-0.013003660629575722
STM14_5545,0.005235986218097349,-0.007750650678577751,0.00033356669294532746,-0.002121186561713018,-0.013517660465505996
STM14_5546,-0.007704983035965534,-0.01991241958460096,0.000389482989219361,0.01997281392850677,0.00800304246987035
STM14_5547,0.00013825875359156642,-0.005123461088196041,-0.0009092192860344615,0.003556626232400664,0.0015682328686265183
STM14_5548,0.006452839848897979,-0.009387603598700259,-0.0030453757068250294,0.01331249798212735,0.000772714467214028
STM14_5549,0.004731537542985761,-0.007202119395846939,0.004205479256203584,0.00452994795006141,-0.005048225049036803
STM14_5550,-0.004264904768887139,-0.0018189200275631637,0.004126811227097641,-0.006824520528596131,-0.0036402765311213067
STM14_5551,-0.0057122937287539585,-0.0030389514969557303,0.0037598524264575075,-0.006226868795509322,-0.003872611976452857
STM14_5552,-0.007006215628885088,-0.0014897546802190348,-0.00044649674701918664,-0.008491407883851101,0.0007759679290039577
STM14_5553,-0.007351507597569766,-0.0023792812016284986,-0.002163239239305109,-0.008515305218522458,-2.0782164110722176e-05
