Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PSLT001,-0.0020047261922228276,-0.01076425725164135,0.004322351954419527,-0.011226542501466263,-0.005895093726852826,0.005160766744778654,-0.0027311653623723633,-0.0012747539754921955,0.0024360105465850213,0.0026234276781044253,0.0067414255090812196,0.006685706064957251,0.006011575359685783,0.002518631952570527,0.009765746346450449,0.004849173786032307,-0.007920506662956921,0.004136993989998776,-0.008851560102289274
PSLT002,-0.0032407820033365925,-0.0012923013688307704,-0.0075166080260362835,0.0007935557409744118,0.0018037458464534087,0.008106315325032145,0.004629814180254683,-0.0027427840860272477,0.00375342087560269,0.0011487341780780473,0.0011560391218697235,-0.009528341155675435,0.01593332138671385,0.01069440583361954,0.021213798204126343,0.00878417532243423,-0.004477998459267955,0.0059388906542409345,-0.0024369441425649385
PSLT003,-0.003349421942932781,0.0026965872630748317,0.013806701778638727,0.006869299901619272,-0.02534225606058294,0.01613695207170383,-0.0022329493635562256,-0.006808064598258993,-0.01983335751784535,-0.009035701660957683,-0.006453298414737404,0.026855916523854377,-0.018106273152434446,-0.005312166444792195,-0.010064557319836265,-0.00034330017899180125,-0.010800369942352433,-0.007606222559534324,0.01601140246038138
PSLT004,0.0015969893230408582,-0.012303132272923002,0.035676790949199566,-0.006650565530152585,0.001775112753088358,0.014845130088323494,0.017063466381241947,-0.03109399773878131,-0.0005500946730995982,-0.011297643138423942,-0.01673278623660536,0.014447644941652217,-0.02676830293760624,0.026847779758158767,0.024083016621202633,0.0247316310093609,-0.008783662615521198,-0.0012144166458886623,0.004236456215560545
PSLT005,0.009615438318472547,-0.0004648200919877235,0.01232485219857527,-0.0005683154833148078,-0.012133234790142342,0.011906278666652241,0.006376467793982871,-0.017833517949803958,-0.024550218040161144,-0.01912334383041912,-0.0021665448347616095,0.03186717054593562,-0.01435630121445282,0.002783266144233011,0.017668144869359154,0.009549685515657236,-0.016842420686337723,-0.0017313494787268423,-0.00028850234557096155
PSLT006,0.015769655290808662,0.01423460707439973,9.47860441748222e-05,-0.017959915908247935,0.012835540677788299,-0.00365513586183962,-0.00028991393077002436,-0.011163961972412664,-0.009531141337087636,-0.012003348790074572,-0.0022092246316869407,0.017496495758054856,-0.0055647371564552,-0.004660836168362727,-0.012830555168714728,0.006714396487114266,-0.012082921747068305,0.007132021978186154,0.003460981301227444
PSLT007,-0.011690636840306563,-0.0014029596573374606,-0.005572328353200277,0.03902676699731818,0.0019880117784840195,0.007494129930358849,0.0012835507586827705,0.006063921417409461,-0.008313504759983506,0.00014776490643095215,0.0027104145240533254,-0.002676777950657303,-0.01343349572519032,-0.04612565964082018,-0.016303882579195628,0.0056602350391339006,0.0007052981560879617,0.0072440149945571354,0.031594131371767135
PSLT008,-0.018760390568562157,0.00878685525217842,0.007684391929702561,0.008021465597805954,0.01069100101872893,0.009534029716805809,-0.0005684007380223063,0.001909486047688764,0.0011599911567956869,-0.00493084707994473,0.0013464913809210582,0.0002255964948922104,-0.005730459207354188,0.0007624903121545764,0.015786594894318842,-0.0030624425452236777,-0.02243462965162397,0.009996781004719,0.008761078256130126
PSLT009,-0.01769220839492325,-0.004485893682748697,0.0069733876360133515,-0.0012533118495874343,0.010816792999115643,0.004435833641169312,0.00553028335197455,0.004487933416591353,0.023721154159281697,0.002209915015609948,-0.010192534907955313,-0.015717622594454993,-0.014825122770485552,0.012419147859118185,0.062238771811551935,-0.0021478302205303816,-0.03182332190956302,0.03162212214509025,0.007654129687017751
PSLT010,-0.004834651074334919,0.010063499632205012,0.0004843954341085195,0.007711707913019614,0.017177018909859745,0.011611631644409927,0.012398143995092743,0.009207295872199723,0.02358844037741413,-0.015640526875744555,-0.016141216665007535,-0.0035785675205444573,-0.011894380738776857,-0.0016841595735017033,0.007870531806818664,0.0026190013636186345,-0.025860687551409394,0.027162993671367704,-0.00046793817562333287
