,gene_id,database,kegg_id
14361,STM2808,KEGG_reaction,R02017
14362,STM2808,KEGG_reaction,R02018
14363,STM2808,KEGG_reaction,R02019
14364,STM2808,KEGG_reaction,R02024
14365,STM2817,KEGG_reaction,R01291
14366,STM2818,KEGG_reaction,R00894
14367,STM2818,KEGG_reaction,R10993
14368,STM2827,KEGG_reaction,R03038
14369,STM2830,KEGG_reaction,R02322
14370,STM2832,KEGG_reaction,R05820
14371,STM2833,KEGG_reaction,R05820
14372,STM2834,KEGG_reaction,R05820
14373,STM2835,KEGG_reaction,R05607
14374,STM2838,KEGG_reaction,R01530
14375,STM2917,KEGG_reaction,R11706
14376,STM2917,KEGG_reaction,R11707
14377,STM2921,KEGG_reaction,R01238
14378,STM2921,KEGG_reaction,R02952
14379,STM2921,KEGG_reaction,R03367
14380,STM2921,KEGG_reaction,R04985
14381,STM2921,KEGG_reaction,R04986
14382,STM2921,KEGG_reaction,R11225
14383,STM2922,KEGG_reaction,R01238
14384,STM2923,KEGG_reaction,R01238
14385,STM2927,KEGG_reaction,R00183
14386,STM2927,KEGG_reaction,R00511
14387,STM2927,KEGG_reaction,R00963
14388,STM2927,KEGG_reaction,R01126
14389,STM2927,KEGG_reaction,R01227
14390,STM2927,KEGG_reaction,R01569
14391,STM2927,KEGG_reaction,R01664
14392,STM2927,KEGG_reaction,R01968
14393,STM2927,KEGG_reaction,R02088
14394,STM2927,KEGG_reaction,R02102
14395,STM2927,KEGG_reaction,R02323
14396,STM2927,KEGG_reaction,R02719
14397,STM2927,KEGG_reaction,R03346
14398,STM2929,KEGG_reaction,R05637
14399,STM2930,KEGG_reaction,R05633
14400,STM2933,KEGG_reaction,R00509
14401,STM2933,KEGG_reaction,R04928
14402,STM2934,KEGG_reaction,R00529
14403,STM2934,KEGG_reaction,R04929
14404,STM2935,KEGG_reaction,R00529
14405,STM2935,KEGG_reaction,R04929
14406,STM2946,KEGG_reaction,R02021
14407,STM2947,KEGG_reaction,R00858
14408,STM2948,KEGG_reaction,R00858
14409,STM2949,KEGG_reaction,R04286
14410,STM2949,KEGG_reaction,R09959
14411,STM2950,KEGG_reaction,R10339
14412,STM2951,KEGG_reaction,R10002
14413,STM2952,KEGG_reaction,R00658
14414,STM2953,KEGG_reaction,R00571
14415,STM2953,KEGG_reaction,R00573
14416,STM2954,KEGG_reaction,R00086
14417,STM2954,KEGG_reaction,R00087
14418,STM2954,KEGG_reaction,R00103
14419,STM2954,KEGG_reaction,R00287
14420,STM2954,KEGG_reaction,R00426
14421,STM2954,KEGG_reaction,R00515
14422,STM2954,KEGG_reaction,R00662
14423,STM2954,KEGG_reaction,R00720
14424,STM2954,KEGG_reaction,R03004
14425,STM2954,KEGG_reaction,R03036
14426,STM2954,KEGG_reaction,R11323
14427,STM2956,KEGG_reaction,R00429
14428,STM2959,KEGG_reaction,R08572
14429,STM2960,KEGG_reaction,R02752
14430,STM2960,KEGG_reaction,R08056
14431,STM2968,KEGG_reaction,R07605
14432,STM2969,KEGG_reaction,R00182
14433,STM2969,KEGG_reaction,R00510
14434,STM2971,KEGG_reaction,R00220
14435,STM2971,KEGG_reaction,R00590
14436,STM2973,KEGG_reaction,R01781
14437,STM2973,KEGG_reaction,R02257
14438,STM2974,KEGG_reaction,R02262
14439,STM2976,KEGG_reaction,R03163
14440,STM2977,KEGG_reaction,R03241
14441,STM2978,KEGG_reaction,R10764
14442,STM2991,KEGG_reaction,R04112
