,gene_id,database,kegg_id
3152,STM14_0151,KEGG_pathway,map00550
3153,STM14_0151,KEGG_pathway,map01100
3154,STM14_0151,KEGG_pathway,map01502
3158,STM14_0152,KEGG_pathway,map00471
3159,STM14_0152,KEGG_pathway,map00550
3160,STM14_0152,KEGG_pathway,map01100
3162,STM14_0153,KEGG_pathway,map04112
3167,STM14_0154,KEGG_pathway,map00550
3168,STM14_0154,KEGG_pathway,map01100
3169,STM14_0154,KEGG_pathway,map01502
3170,STM14_0154,KEGG_pathway,map04112
3174,STM14_0155,KEGG_pathway,map00471
3175,STM14_0155,KEGG_pathway,map00550
3176,STM14_0155,KEGG_pathway,map01100
3181,STM14_0156,KEGG_pathway,map00473
3182,STM14_0156,KEGG_pathway,map00550
3183,STM14_0156,KEGG_pathway,map01100
3184,STM14_0156,KEGG_pathway,map01502
3186,STM14_0157,KEGG_pathway,map04112
3188,STM14_0158,KEGG_pathway,map04112
3190,STM14_0159,KEGG_pathway,map04112
3193,STM14_0160,KEGG_pathway,map00540
3194,STM14_0160,KEGG_pathway,map01100
3197,STM14_0161,KEGG_pathway,map03060
3198,STM14_0161,KEGG_pathway,map03070
3202,STM14_0162,KEGG_pathway,map02024
3203,STM14_0162,KEGG_pathway,map03060
3204,STM14_0162,KEGG_pathway,map03070
3207,STM14_0168,KEGG_pathway,map00770
3208,STM14_0168,KEGG_pathway,map01100
3210,STM14_0169,KEGG_pathway,map00230
3213,STM14_0174,KEGG_pathway,map00760
3214,STM14_0174,KEGG_pathway,map01100
3223,STM14_0183,KEGG_pathway,map00010
3224,STM14_0183,KEGG_pathway,map00020
3225,STM14_0183,KEGG_pathway,map00620
3226,STM14_0183,KEGG_pathway,map01100
3227,STM14_0183,KEGG_pathway,map01110
3228,STM14_0183,KEGG_pathway,map01120
3229,STM14_0183,KEGG_pathway,map01130
3230,STM14_0183,KEGG_pathway,map01200
3239,STM14_0184,KEGG_pathway,map00010
3240,STM14_0184,KEGG_pathway,map00020
3241,STM14_0184,KEGG_pathway,map00620
3242,STM14_0184,KEGG_pathway,map01100
3243,STM14_0184,KEGG_pathway,map01110
3244,STM14_0184,KEGG_pathway,map01120
3245,STM14_0184,KEGG_pathway,map01130
3246,STM14_0184,KEGG_pathway,map01200
3258,STM14_0190,KEGG_pathway,map00020
3259,STM14_0190,KEGG_pathway,map00630
3260,STM14_0190,KEGG_pathway,map00640
3261,STM14_0190,KEGG_pathway,map00720
3262,STM14_0190,KEGG_pathway,map01100
3263,STM14_0190,KEGG_pathway,map01110
3264,STM14_0190,KEGG_pathway,map01120
3265,STM14_0190,KEGG_pathway,map01130
3266,STM14_0190,KEGG_pathway,map01200
3267,STM14_0190,KEGG_pathway,map01210
3268,STM14_0190,KEGG_pathway,map01230
3272,STM14_0197,KEGG_pathway,map00270
3273,STM14_0197,KEGG_pathway,map00330
3274,STM14_0197,KEGG_pathway,map01100
3280,STM14_0198,KEGG_pathway,map00270
3281,STM14_0198,KEGG_pathway,map00330
3282,STM14_0198,KEGG_pathway,map00410
3283,STM14_0198,KEGG_pathway,map00480
3284,STM14_0198,KEGG_pathway,map01100
3289,STM14_0201,KEGG_pathway,map00030
3290,STM14_0201,KEGG_pathway,map01100
3291,STM14_0201,KEGG_pathway,map01110
3292,STM14_0201,KEGG_pathway,map01130
3297,STM14_0202,KEGG_pathway,map00230
3298,STM14_0202,KEGG_pathway,map00983
3299,STM14_0202,KEGG_pathway,map01100
3300,STM14_0202,KEGG_pathway,map01110
3302,STM14_0203,KEGG_pathway,map00910
3304,STM14_0207,KEGG_pathway,map05133
3309,STM14_0213,KEGG_pathway,map00410
3310,STM14_0213,KEGG_pathway,map00770
3311,STM14_0213,KEGG_pathway,map01100
3312,STM14_0213,KEGG_pathway,map01110
3317,STM14_0214,KEGG_pathway,map00410
3318,STM14_0214,KEGG_pathway,map00770
3319,STM14_0214,KEGG_pathway,map01100
3320,STM14_0214,KEGG_pathway,map01110
3324,STM14_0216,KEGG_pathway,map00770
3325,STM14_0216,KEGG_pathway,map01100
3326,STM14_0216,KEGG_pathway,map01110
3329,STM14_0217,KEGG_pathway,map00790
3330,STM14_0217,KEGG_pathway,map01100
3332,STM14_0218,KEGG_pathway,map03018
3334,STM14_0226,KEGG_pathway,map00550
3336,STM14_0229,KEGG_pathway,map02010
3338,STM14_0230,KEGG_pathway,map02010
3340,STM14_0231,KEGG_pathway,map02010
3345,STM14_0241,KEGG_pathway,map00860
3346,STM14_0241,KEGG_pathway,map01100
3347,STM14_0241,KEGG_pathway,map01110
3348,STM14_0241,KEGG_pathway,map01120
3350,STM14_0246,KEGG_pathway,map02010
3354,STM14_0247,KEGG_pathway,map00270
3355,STM14_0247,KEGG_pathway,map01100
3356,STM14_0247,KEGG_pathway,map01230
3358,STM14_0248,KEGG_pathway,map00230
3361,STM14_0249,KEGG_pathway,map01503
3362,STM14_0249,KEGG_pathway,map02020
3367,STM14_0253,KEGG_pathway,map00300
3368,STM14_0253,KEGG_pathway,map01100
3369,STM14_0253,KEGG_pathway,map01120
3370,STM14_0253,KEGG_pathway,map01230
3372,STM14_0254,KEGG_pathway,map02020
3374,STM14_0257,KEGG_pathway,map03010
3377,STM14_0259,KEGG_pathway,map00240
3378,STM14_0259,KEGG_pathway,map01100
3383,STM14_0261,KEGG_pathway,map00900
3384,STM14_0261,KEGG_pathway,map01100
3385,STM14_0261,KEGG_pathway,map01110
