	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1043600	13809484	1417	58077	13715873	0	0	0	0	33906	0	0	0	0	87	96	28	0.010261064062929506	13809484.0	93611.0	0.68	13715873.0	99.32	ERX1043600_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13809484.0	0.0	20-54	60.0	44.702016012080726	46.77551246664972	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		14944631	4957757	14944631	807010074	93999955	679057688	15.855116326589991	0.2059	0.3529	0.4412		
ERX1043601	16143632	6456	6990	16114557	0	0	0	0	376	0	0	0	0	14483	591	179	0.03999100078594457	16143632.0	29075.0	0.18	16114557.0	99.82	ERX1043601_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16143632.0	0.0	20-54	56.0	25.339767266399768	51.46513176217099	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		17679298	4923894	17679298	954682092	47122622	898677248	5.866334402761584	0.08	0.24	0.68		
ERX1043602	11281256	555	17307	11225448	0	0	0	0	24730	0	0	0	0	13186	19	11	0.0049196649734745855	11281256.0	55808.0	0.49	11225448.0	99.51	ERX1043602_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11281256.0	0.0	20-54	57.0	36.637172960004456	49.525022036553366	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		11759628	5046104	11759628	635019912	26575138	573640687	9.66571659252159	0.1667	0.6667	0.1667		
ERX2017806	1252031	658	693	1250564	0	0	0	0	37	0	0	0	0	22	42	15	0.05255460927085672	1252031.0	1467.0	0.12	1250564.0	99.88	ERX2017806_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1252031.0	0.0	20-54	59.0	36.02943459459959	52.31909353682136	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		1313801	366392	1313801	70945254	4028354	66268921	6.591466992281117	0.0	0.0	1.0		
ERX2017807	1105298	267	317	1104162	0	0	0	0	25	0	0	0	0	509	11	7	0.02415638135597821	1105298.0	1136.0	0.1	1104162.0	99.9	ERX2017807_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1105298.0	0.0	20-54	55.0	24.45796569968879	51.9486075248485	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		1179687	333659	1179687	63703098	4196058	58945406	7.468541011930062	0.0	0.5	0.5		
ERX2079594	6643752	5685197	1010	555059	0	0	0	0	39930	0	0	0	0	57194	216754	88608	85.57208336494197	6643752.0	6088693.0	91.65	555059.0	8.35	ERX2079594_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6643752.0	0.0	20-100	52.0	31.644236426187934	99.20834763248236	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	warn	6643935	1975783	6643935	664393500	572179	660759878	0.5469081199620406	0.2643	0.2715	0.4641		
ERX2079595	8164416	7134895	708	562461	0	0	0	0	16258	0	0	0	0	78667	284643	86784	87.39014523512766	8164416.0	7601955.0	93.11	562461.0	6.89	ERX2079595_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8164416.0	0.0	20-100	52.0	28.012854405069838	99.25596760380657	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	warn	8164601	2413040	8164601	816460100	567706	812375352	0.5002997697009322	0.2478	0.264	0.4882		
ERX2079596	6662369	5748703	903	520252	0	0	0	0	16077	0	0	0	0	63434	239068	73932	86.28616937909024	6662369.0	6142117.0	92.19	520252.0	7.81	ERX2079596_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6662369.0	0.0	20-100	52.0	25.422936243390023	99.29715631181641	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	6662508	1982608	6662508	666250800	184974	663174218	0.4617753554667402	0.2572	0.2532	0.4896		
ERX2079597	7687256	6550223	1033	716784	0	0	0	0	19919	0	0	0	0	71040	247501	80756	85.208857360806	7687256.0	6970472.0	90.68	716784.0	9.32	ERX2079597_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7687256.0	0.0	20-100	52.0	24.52881005268581	99.16902624291424	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	7687443	2379851	7687443	768744300	262368	764247034	0.5850145490509653	0.2854	0.2913	0.4233		
ERX2079598	6759640	5844136	4153	528697	0	0	0	0	18811	0	0	0	0	60107	226925	76811	86.45632015906173	6759640.0	6230943.0	92.18	528697.0	7.82	ERX2079598_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6759640.0	0.0	20-100	52.0	25.95279254827547	99.29859637495487	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	6759813	2000533	6759813	675981300	236560	672867094	0.4606941049996501	0.2865	0.2894	0.4241		
ERX2079599	6517752	5636283	466	537480	0	0	0	0	16540	0	0	0	0	56362	214175	56446	86.47587389026155	6517752.0	5980272.0	91.75	537480.0	8.25	ERX2079599_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6517752.0	0.0	20-100	52.0	30.80101037861931	99.22851253008707	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	6517907	1951737	6517907	651790700	178142	648642026	0.4830805349017714	0.2912	0.2865	0.4223		
ERX339079	6034319	38859	176259	5789467	0	0	0	0	814	0	0	0	0	27353	1236	331	0.6439666182712581	6034319.0	244852.0	4.06	5789467.0	95.94	ERX339079_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6034319.0	0.0	20-75	55.0	52.44629139098218	73.10028952728553	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass		6145546	2026646	6145546	460915950	11679757	446481178	3.131757970189576	0.0508	0.7481	0.2011		
ERX339080	6555711	32530	158427	6342441	0	0	0	0	646	0	0	0	0	20457	928	282	0.4962085729526515	6555711.0	213270.0	3.25	6342441.0	96.75	ERX339080_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6555711.0	0.0	20-75	54.0	33.696584695244695	73.50776140070846	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		6653443	2164943	6653443	499008225	2765532	493346885	1.1345183739205902	0.0785	0.6806	0.2408		
ERX3475890	6708768	3254509	17240	2609727	0	0	0	0	36203	0	0	0	0	522885	209059	59145	48.51127658610344	6708768.0	4099041.0	61.1	2609727.0	38.9	ERX3475890_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6708768.0	0.0	20-37	51.0	30.332823794086885	36.14312970727264	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	8013853	2063225	8013853	296512561	50736873	242813624	18.11017274239522	0.7888	0.0327	0.1785		
ERX3475891	48624166	33557042	47855	5054210	0	0	0	0	717372	0	0	0	0	6668084	1897050	682553	69.01309525802458	48624166.0	43569956.0	89.61	5054210.0	10.39	ERX3475891_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48624166.0	0.0	20-37	52.0	14.075484082937596	36.33939327617465	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	49843092	16801158	49843092	1844194404	9506007	1808328560	1.9447973555395304	0.7558	0.0432	0.201		
ERX3475892	35797455	23950093	28814	3480471	0	0	0	0	643308	0	0	0	0	5943060	1431445	320264	66.90445731407442	35797455.0	32316984.0	90.28	3480471.0	9.72	ERX3475892_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35797455.0	0.0	20-37	50.0	23.604769498980502	36.24010854961617	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	36722951	10527457	36722951	1358749187	35685647	1305160781	3.9439512834829022	0.7045	0.0409	0.2546		
ERX3475893	836200	376337	781	303887	0	0	0	0	17287	0	0	0	0	106601	24892	6415	45.0056206649127	836200.0	532313.0	63.66	303887.0	36.34	ERX3475893_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	836200.0	0.0	20-37	51.0	54.240797048138425	35.85402894044486	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	fail	958148	327832	958148	35451476	1245849	31267569	11.801785065310115	0.7197	0.0604	0.22		
ERX3475894	16432220	4872370	6150	9755369	0	0	0	0	222929	0	0	0	0	1151162	344625	79615	29.651319176593304	16432220.0	6676851.0	40.63	9755369.0	59.37	ERX3475894_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16432220.0	0.0	20-37	50.0	26.70087063434663	36.39888103981082	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16894270	5965003	16894270	625087990	1549890	607142517	2.870871507225727	0.6516	0.0869	0.2615		
ERX3475895	26368488	18272040	76981	3031923	0	0	0	0	401690	0	0	0	0	3115043	1134911	335900	69.29498574207213	26368488.0	23336565.0	88.5	3031923.0	11.5	ERX3475895_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26368488.0	0.0	20-37	50.0	29.2059555418988	36.24389627497792	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	27040414	8989067	27040414	1000495318	5161881	980906387	1.9579233053442435	0.7076	0.0457	0.2466		
ERX3475896	24875747	7344816	18920	14345529	0	0	0	0	354277	0	0	0	0	2120565	585681	105959	29.526011821876143	24875747.0	10530218.0	42.33	14345529.0	57.67	ERX3475896_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24875747.0	0.0	20-37	50.0	23.963021998097812	36.371545746947824	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	27703287	11212916	27703287	1025021619	2962235	932794225	8.997604761739177	0.6639	0.0825	0.2536		
ERX3475897	24275292	7708147	27266	13996579	0	0	0	0	314748	0	0	0	0	1664743	443758	120051	31.75305574079191	24275292.0	10278713.0	42.34	13996579.0	57.66	ERX3475897_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24275292.0	0.0	20-37	51.0	23.338921645506396	36.37878530977094	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	24920903	7259207	24920903	922073411	17672726	888285595	3.664330366424588	0.6736	0.066	0.2604		
ERX3475898	22998292	15264494	48736	4137896	0	0	0	0	85304	0	0	0	0	2218228	907630	336004	66.37229408166485	22998292.0	18860396.0	82.01	4137896.0	17.99	ERX3475898_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22998292.0	0.0	20-37	51.0	18.97783740761401	36.23393876380037	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	24906671	6867922	24906671	921546827	76983494	834909170	9.401329857760988	0.6989	0.0416	0.2595		
ERX3475899	60877280	39251703	26414	11330285	0	0	0	0	373777	0	0	0	0	7038938	2338574	517589	64.47676867297619	60877280.0	49546995.0	81.39	11330285.0	18.61	ERX3475899_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60877280.0	0.0	20-37	49.0	27.098738496493702	35.843558187882245	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	66357203	21989847	66357203	2455216511	24395756	2399501040	2.269269156116392	0.6785	0.0488	0.2728		
ERX3475900	47624725	31946536	58114	4951190	0	0	0	0	1108764	0	0	0	0	7544643	1655075	360403	67.07972801942688	47624725.0	42673535.0	89.6	4951190.0	10.4	ERX3475900_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47624725.0	0.0	20-37	50.0	22.04897723168757	36.21898713325904	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	48957592	17127620	48957592	1811430904	9514275	1769000602	2.3423638133977644	0.7282	0.0399	0.2319		
ERX3475901	1759057	865356	1599	615903	0	0	0	0	26943	0	0	0	0	170475	61669	17112	49.19431263455361	1759057.0	1143154.0	64.99	615903.0	35.01	ERX3475901_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1759057.0	0.0	20-37	52.0	52.70524439981307	36.19738132419813	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	fail	1851650	646820	1851650	68511050	1610974	64864825	5.322097676214275	0.6583	0.0809	0.2607		
ERX3498747	17320696	13092370	18	2623220	0	0	0	0	117677	0	0	0	0	709311	475876	302224	75.58801332232838	17320696.0	14697476.0	84.85	2623220.0	15.15	ERX3498747_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17320696.0	0.0	20-100	53.0	57.6637067882404	99.31308106787395	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass		17321034	5056594	17321034	1732103400	184176	1724232984	0.454384882565325	0.4256	0.4215	0.1529		
ERX3498748	17285833	13308574	48	2495413	0	0	0	0	93761	0	0	0	0	813869	377040	197128	76.99122165532897	17285833.0	14790420.0	85.56	2495413.0	14.44	ERX3498748_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17285833.0	0.0	20-100	54.0	62.995213444078004	99.22409802293012	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass		17286012	5109676	17286012	1728601200	421947	1719257269	0.5405486817896459	0.4157	0.4101	0.1741		
ERX540767	2184707	1935884	1193	87558	0	0	0	0	86	0	0	0	0	62744	74808	22434	88.61069241779333	2184707.0	2097149.0	95.99	87558.0	4.01	ERX540767_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2184707.0	0.0	20-150	52.0	79.26989037211618	148.53280050826038	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass		2185726	627303	2185726	327858900	1279349	325714123	0.6541768425380553	0.3019	0.2922	0.4059		
ERX540768	2450649	650801	1675942	62029	0	0	0	0	109	0	0	0	0	28317	24454	8997	26.5562714203462	2450649.0	2388620.0	97.47	62029.0	2.53	ERX540768_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2450649.0	0.0	20-150	54.0	22.273542064842385	148.694618854026	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2451551	753685	2451551	367732650	857146	365896490	0.4993192744783472	0.3553	0.3532	0.2915		
ERX540769	1890817	1146581	549979	62331	0	0	0	0	44	0	0	0	0	59839	54724	17319	60.63944845006154	1890817.0	1828486.0	96.7	62331.0	3.3	ERX540769_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1890817.0	0.0	21-150	52.0	46.47107468164346	148.83808956657361	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		1891345	564796	1891345	283701750	397582	282542347	0.4086696680580927	0.3469	0.3385	0.3146		
ERX540770	1760147	349549	1325811	39088	0	0	0	0	100	0	0	0	0	24267	15869	5463	19.859079951844933	1760147.0	1721059.0	97.78	39088.0	2.22	ERX540770_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1760147.0	0.0	20-150	54.0	23.61668104329149	148.80311758052025	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		1760583	517138	1760583	264087450	209393	263207740	0.3331131411204887	0.35200000000000004	0.3375	0.3104		
ERX540771	2986588	2461120	149954	143485	0	0	0	0	90	0	0	0	0	99090	100399	32450	82.40574193695281	2986588.0	2843103.0	95.2	143485.0	4.8	ERX540771_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2986588.0	0.0	21-150	52.0	62.69215665514866	148.78111309628244	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass		2987573	872895	2987573	448135950	865306	446067824	0.4614952225993028	0.3011	0.3086	0.3903		
ERX540772	2620273	2147021	176388	115995	0	0	0	0	63	0	0	0	0	79270	76948	24588	81.93882851138031	2620273.0	2504278.0	95.57	115995.0	4.43	ERX540772_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2620273.0	0.0	20-150	52.0	62.15897442872584	148.79148241423695	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass		2621162	752643	2621162	393174300	1426212	390711629	0.6263560461606977	0.29600000000000004	0.2949	0.4092		
ERX540773	2042671	1703855	22941	159529	0	0	0	0	53	0	0	0	0	63681	66381	26231	83.41309001792261	2042671.0	1883142.0	92.19	159529.0	7.81	ERX540773_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2042671.0	0.0	20-150	52.0	70.68391149569327	148.59532886108434	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass		2043339	588097	2043339	306500850	1033701	304649128	0.6041490586404572	0.2949	0.309	0.3961		
ERX540774	1755565	1522930	5978	101642	0	0	0	0	38	0	0	0	0	42133	60018	22826	86.74871052908891	1755565.0	1653923.0	94.21	101642.0	5.79	ERX540774_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1755565.0	0.0	20-150	52.0	74.4692164046711	148.47748160848502	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass		1756457	505023	1756457	263468550	1132024	261635952	0.6955661311378529	0.2998	0.3008	0.3994		
SRX1036363	5776850	119568	32	627226	0	0	0	0	1500718	0	0	0	0	2431683	1097287	336	2.069778512511144	5776850.0	5149624.0	89.14	627226.0	10.86	SRX1036363_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5776850.0	0.0	20-100	50.0	25.982705944955157	62.112130313232996	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		6065092	2084865	6065092	378158398	10710242	364587515	3.5886768803161684	0.2403	0.7335	0.0262		
SRX1135774	6325719	139713	28	359582	0	0	0	0	1344235	0	0	0	0	2595012	1886784	365	2.2086501155046565	6325719.0	5966137.0	94.32	359582.0	5.68	SRX1135774_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6325719.0	0.0	18-100	48.0	4.932449502079531	64.23828342675354	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		6590598	3766358	6590598	425402120	3308290	417819711	1.7824097820669065	0.0037	0.9963	0.0		
SRX1135789	4747771	167944	10	288439	0	0	0	0	596776	0	0	0	0	2955882	738624	96	3.5373230932999924	4747771.0	4459332.0	93.92	288439.0	6.08	SRX1135789_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4747771.0	0.0	20-100	50.0	9.930034733191716	68.40012966084505	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		4916807	1880980	4916807	340439381	2041149	335737243	1.3811968480814505	0.2656	0.7108	0.0236		
SRX1470891	7369647	349278	5818378	998522	0	0	0	0	0	0	0	0	0	169731	32622	1116	4.739412891825077	7369647.0	6371125.0	86.45	998522.0	13.55	SRX1470891_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7369647.0	0.0	20-75	52.0	42.210095471972345	73.15564395418126	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	7371222	2898938	7371222	552841650	4488810	544149240	1.5723146040100267			0.2091	0.6493	0.1416
SRX1470892	6756928	312168	5473650	789772	0	0	0	0	0	0	0	0	0	152049	28224	1065	4.619969311497769	6756928.0	5967156.0	88.31	789772.0	11.69	SRX1470892_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6756928.0	0.0	20-75	52.0	41.05529365827756	73.20089573249855	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	6758599	2588963	6758599	506894925	3824069	499273934	1.5034656344211765			0.2071	0.6622	0.1307
SRX1470893	12083760	624801	9145959	1930030	0	0	0	0	0	0	0	0	0	318650	62252	2068	5.170584321436374	12083760.0	10153730.0	84.03	1930030.0	15.97	SRX1470893_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12083760.0	0.0	20-75	51.0	19.020998671398925	72.90304689930949	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	12084546	4780481	12084546	906340950	10906359	888770130	1.938654542752372			0.2097	0.6292	0.1612
SRX1470894	7945889	418448	6478163	803088	0	0	0	0	0	0	0	0	0	205918	38957	1315	5.266220054168891	7945889.0	7142801.0	89.89	803088.0	10.11	SRX1470894_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7945889.0	0.0	20-75	52.0	39.004842907489575	73.24348200685914	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	7947527	3027480	7947527	596064525	4255304	587388729	1.455512890991122			0.2353	0.608	0.1566
SRX1470895	9199842	520394	7311625	1032010	0	0	0	0	0	0	0	0	0	285171	48813	1829	5.656553666899931	9199842.0	8167832.0	88.78	1032010.0	11.22	SRX1470895_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9199842.0	0.0	20-75	52.0	40.03500552233086	73.25870900826341	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	9201899	3480990	9201899	690142425	4879312	680255359	1.4326124060551704			0.2318	0.6036	0.1646
SRX1470896	13440957	834324	10804297	1262603	0	0	0	0	0	0	0	0	0	453659	83394	2680	6.207325862287932	13440957.0	12178354.0	90.61	1262603.0	9.39	SRX1470896_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13440957.0	0.0	20-75	52.0	17.278638118483748	73.28411436774925	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass	13441779	4927957	13441779	1008133425	7327583	993916805	1.4101923066383797			0.2162	0.5954	0.1884
SRX1470897	7736549	356554	5971330	1185752	0	0	0	0	0	0	0	0	0	187622	33878	1413	4.608695685893025	7736549.0	6550797.0	84.67	1185752.0	15.33	SRX1470897_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7736549.0	0.0	20-75	51.0	42.13682315632046	72.96537487192288	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	7738474	3200925	7738474	580385550	6233962	569638497	1.8517092646431323			0.19699999999999998	0.6674	0.1357
SRX1470898	6310445	279404	5086188	769318	0	0	0	0	0	0	0	0	0	148947	25455	1133	4.427643375387948	6310445.0	5541127.0	87.81	769318.0	12.19	SRX1470898_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6310445.0	0.0	20-75	52.0	39.15052718599242	73.11314526946991	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	6311707	2495081	6311707	473378025	4092743	465683868	1.6253726606764225			0.2088	0.6686	0.1226
SRX1470899	11584417	595278	8768074	1842802	0	0	0	0	0	0	0	0	0	316964	58880	2419	5.138609910192287	11584417.0	9741615.0	84.09	1842802.0	15.91	SRX1470899_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11584417.0	0.0	20-75	51.0	19.172272678176867	72.8879300529323	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	11584987	4543456	11584987	868874025	10674468	851910236	1.9523876317973712			0.1992	0.6559	0.1449
SRX1470900	6121926	366005	4775096	745637	0	0	0	0	0	0	0	0	0	195421	38484	1283	5.97859235802589	6121926.0	5376289.0	87.82	745637.0	12.18	SRX1470900_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6121926.0	0.0	20-75	52.0	41.5666198117635	73.17562283503591	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	6123333	2356429	6123333	459249975	3772990	452112535	1.554151418298934			0.2204	0.6062	0.1734
SRX1470901	6464292	353306	5136737	750999	0	0	0	0	0	0	0	0	0	188777	33241	1232	5.465501867799289	6464292.0	5713293.0	88.38	750999.0	11.62	SRX1470901_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6464292.0	0.0	20-75	52.0	42.32799145904107	73.274741301909	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	6466030	2389221	6466030	484952250	3368051	478115343	1.4098103473073895			0.2229	0.6094	0.1677
SRX1470902	12007530	792878	9846063	897302	0	0	0	0	0	0	0	0	0	391749	76942	2596	6.603173175499041	12007530.0	11110228.0	92.53	897302.0	7.47	SRX1470902_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12007530.0	0.0	20-75	52.0	17.181801428837716	73.35404500342702	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	12008429	4239879	12008429	900632175	5768624	888901920	1.302446806322459			0.2371	0.6009	0.1619
SRX1470903	8336808	366902	6458399	1272807	0	0	0	0	0	0	0	0	0	200327	36965	1408	4.40098896364172	8336808.0	7064001.0	84.73	1272807.0	15.27	SRX1470903_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8336808.0	0.0	20-75	52.0	43.36801947878876	72.97974140702293	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	8339858	3356010	8339858	625489350	6638893	614056468	1.8278300022214609			0.2084	0.6638	0.1278
SRX1470904	6740783	264596	5424499	875416	0	0	0	0	0	0	0	0	0	150960	24163	1149	3.92530066610956	6740783.0	5865367.0	87.01	875416.0	12.99	SRX1470904_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6740783.0	0.0	20-75	52.0	41.27169731391852	73.12209219611431	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	6742664	2605943	6742664	505699800	4451201	497499753	1.6215246674014898			0.2064	0.6815	0.1121
SRX1470905	11816789	561152	9248069	1628927	0	0	0	0	0	0	0	0	0	320077	56293	2271	4.7487688914475825	11816789.0	10187862.0	86.22	1628927.0	13.78	SRX1470905_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11816789.0	0.0	20-75	52.0	18.237903681501702	73.0812404283431	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	11817338	4543472	11817338	886300350	8708849	871329242	1.6891686886956552			0.2092	0.6534	0.1374
SRX1470906	7753067	468187	6237836	769695	0	0	0	0	0	0	0	0	0	231408	44274	1667	6.038732800838687	7753067.0	6983372.0	90.07	769695.0	9.93	SRX1470906_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7753067.0	0.0	20-75	53.0	40.268378284025616	73.31129680679915	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn	7754510	2770865	7754510	581588250	3829673	573746278	1.3483718077179174			0.1983	0.6497	0.1519
SRX1470907	6462763	367181	5128209	731326	0	0	0	0	0	0	0	0	0	198936	35835	1276	5.681486385931217	6462763.0	5731437.0	88.68	731326.0	11.32	SRX1470907_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6462763.0	0.0	20-75	52.0	40.94616499861709	73.23682951084544	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	6464742	2443975	6464742	484855650	3661606	477706964	1.4743946987108432			0.2181	0.6189	0.1631
SRX1470908	11930083	727929	9722103	995169	0	0	0	0	0	0	0	0	0	406732	75762	2388	6.101625613166312	11930083.0	10934914.0	91.66	995169.0	8.34	SRX1470908_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11930083.0	0.0	20-75	53.0	16.458081762720337	73.34408134461428	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn	11930694	4266955	11930694	894802050	5788414	882972697	1.3220078116718663			0.2263	0.5797	0.19399999999999998
SRX155634	1984663	132458	284513	1384639	0	0	0	0	0	0	0	0	0	165178	17441	434	6.674080183890162	1984663.0	600024.0	30.23	1384639.0	69.77	SRX155634_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1984663.0	0.0	20-97	36.0	25.246517817429428	84.07198501710366	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	1987838	1594104	1987838	192820286	23545526	167627032	13.065665715276449			0.092	0.6455	0.2625
