Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13
PSLT001,0.002843848945152918,-0.001763707796706462,0.0025017036195852335,-0.007851092237596408,0.0046156126822015295,0.00688517426513199,-0.0018781654191972184,-0.0051904697680723475,-0.0024811449628782366,0.006782378414089376,-0.0039919781174624965,0.0047490312500197114,0.007628866747275523,-0.011906668433698425
PSLT002,0.005862392443316503,-0.009071818655062914,0.007793707866660624,-0.00835700517206467,0.007155094615406113,0.014820409295081334,0.00019739408902276338,0.0020088415661351313,0.0013760459693679748,-0.0019255115075829477,0.0025222515684936993,0.011869509748542801,0.0035588550533307865,-0.004898479134960274
PSLT003,-0.006400928992434019,7.613754288027268e-06,0.00030210189990306573,-0.0010660369688866628,-0.0072102702524370335,-0.012336316735193791,-0.002009327082007722,-0.026874575171383874,-0.0033067815193492645,0.03282308304624191,-0.001594324487459719,-0.010574804052787344,-0.008170133890333496,0.01220969568205376
PSLT004,-0.015689819198314095,-0.02429764165746199,-0.007425548583465666,0.0027356595617884522,-0.00180602683865101,0.02344777759118544,0.0042426539014359405,0.002067043771688293,-0.016556766051567667,0.020848412809259653,0.010903096030207803,0.0029693195063819943,-0.01757446398019861,-0.008928136270475033
PSLT005,-0.017427399241786944,-0.01470516705358957,-0.0013297658053858824,-0.0099126378557011,0.001218670454478813,0.002541668773527547,0.014094903311798322,-0.012063451585484962,-0.00980690542772932,0.030257902537847145,0.004870806543785636,-0.00452204736596491,-0.001291568916280777,0.007008912764948971
PSLT006,-0.014647164718741043,-0.004892095486507144,0.0011865298841808839,-0.007389425986811609,0.007437139956424274,-0.02279974727664691,0.014917000902772135,0.012490854767447563,0.00799260086982784,0.009790364517347806,-0.0003517523499289342,0.00029273747920848263,-0.0019828938074333393,0.018002340808710268
PSLT007,0.0013614712919963752,0.0023884837524617243,-0.020256915643659213,0.0070803008538320245,0.0074331891205211805,-0.008559960789506856,-0.012741671579148479,-0.004122293589475074,0.017244317398025285,0.019589461983341425,0.004317572099674594,0.0059162813940500545,-0.003829302934816489,0.01874944264789086
PSLT008,-0.0018900922934258107,-0.0008564691776364472,-0.0047307232756998345,-0.020582411632133913,0.009857454843655605,0.017763310937416336,-0.01707197515754285,0.009121985907829174,-0.0008185036718296947,0.012180022157826948,-0.001978293745418861,-0.006623846230577768,0.0012722118826865717,0.011056780366702967
PSLT009,0.00016279676921721392,-0.0058129400201452856,2.0265470229460442e-05,-0.03412767950932928,0.03263984432195876,0.05946476664480667,-0.014313613150301599,0.01043260169581785,0.007700829086643142,-0.009377164194258988,-0.0014262644815740868,-0.011113538624543935,-0.005570662830527598,-0.004567053251226399
PSLT010,-0.013699882367751947,0.004582436156898603,0.0035324759885139024,-0.02549886507893381,0.02697817596552396,0.0023431922164028726,-0.004173593251625157,0.013978561209483948,0.0014765430872058702,-0.00046261797123803197,0.006899446700660906,-0.0038984267231740423,-0.014130172668329062,0.01566778395879983
