Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
STM474_p201,0.021597354243034286,0.0006785199632553592,0.013777185034502697,-0.005131195899612282,-0.004309489545085158,-0.013528306319001813,0.006022207505108635,0.0019191664104688843,0.004904084156442938,0.011015771726354066,0.007145221584713451,-0.007334033333158657,0.003949756121650603,-0.0054392191135653085,0.08554696102166005
STM474_p202,-0.00316291022508067,0.01294674832437704,-0.0064005790529635545,-0.016316708586027497,0.02324653993688624,0.006189859192133006,-0.016479686077338847,-0.02790432505115597,-0.017501264186641326,-0.013674740748197502,-0.006084281181014471,-0.03260073368207337,0.028998408349174432,0.002440063717367664,0.06889134202112115
STM474_p203,0.004598080966458262,0.004351078445507925,0.000222063148612201,0.009210938759392785,0.013706585911204319,0.014503698008474003,0.0036087869941061118,-0.004074700999443324,-0.004083966751291909,0.003425661154141827,0.0024348528518474215,0.01671837789383259,-0.000924426332238832,0.010471192385579763,0.08149513295769664
STM474_p204,-0.012353944334522287,0.0004932575118320975,0.0030746663973956973,-0.0005010324013712978,-0.002031178719736904,0.004205759052314987,-0.0021448171947623966,-0.00975513721763008,0.006743504627540544,0.001390190530555816,-0.0008505277572298856,-0.004042751239899797,0.008313074490202908,0.0013440182206155408,0.07457209051776542
STM474_p205,-0.00787128690364245,0.0036964524290304234,0.005055576706013294,-0.0020004265360558772,-0.009872679462547664,-0.0027741871857456498,-0.0027125173729071524,-0.01749306464191424,0.005615876101642159,-0.0019390574134526583,-0.0027791935598312904,-0.0006804632348393014,0.023394746297942488,-0.004006906449096421,0.07388253066129455
STM474_p206,0.006838851455172652,-0.0043413164087321866,0.0003674019304664791,-0.02289653022810549,0.01951799739562898,-0.004713003901605899,-0.0017513749939042874,-0.011532612148879105,0.0015622989270669815,-0.003657984452426555,0.0023155509024232403,-0.011131252890689766,0.03242955687343725,-0.007764744014145455,0.055491369387452034
STM474_p207,0.025564866152377175,-0.007598904722730932,0.0016298990362612845,-0.009710238345203978,0.012991432716548994,0.017722372815888274,-0.022669857180398222,-0.005101570477539677,-0.004891405820615698,-0.0052173365596467,-0.011971085985916835,-0.014912253522064966,-0.011550182099621858,-0.011808547108758154,0.0668469102757944
STM474_p208,0.008998804281709967,-0.0011154853362614085,0.008090743516871265,0.0022486123698507773,0.005829860827601297,0.018233952307809193,-0.0048064639729956775,-0.008063273347202811,0.018189355831520728,0.005348754992934758,0.0014329879352043917,-0.004712454643691774,-0.0032499029778928394,-0.009353892752586452,0.07546412131615776
STM474_p209,-0.0006872492706233993,-0.0015682265640591562,0.011305163574674072,-0.0013403151937888837,0.017642390090684242,0.00729577096868669,-0.007244584436333513,-0.015883231794128764,0.016478148254799832,0.008877565671453551,0.012584761862788224,-0.016679412036031797,0.003778322709936306,0.009455718606064114,0.06604179186908189
STM474_p210,-0.014712058059785553,-0.0015209359510672596,-0.0054304662192032685,-0.013230924195762035,0.006878249338546983,0.002599090923519309,0.002261889577064201,-0.00427231200864985,0.009711947324945834,-0.01070366080128889,-0.0037826045363588156,-0.0018998972250310181,0.0057312286403535355,-0.005386329798090338,0.07420781162430576
STM474_p211,-0.00703575285949003,-0.01306699894490604,-0.00457566880947865,0.05540057930864413,0.05529508554051529,-0.002776185284189474,-0.007134772038229938,-0.010600067113884728,0.005742663322237316,-0.009325984940706742,0.004137487574525326,-3.843805134701247e-05,0.0030614182522651625,-0.006280117986461876,0.07687750454169785
STM474_p212,-0.0020237773073149444,-0.00789397562020398,-0.008184455881740306,0.015772251210117435,0.019460921207433743,0.02414176518632673,0.004033654813726214,-0.004768470760774133,0.005574707090436491,0.0013347986350739696,-0.01080814504916145,-0.00371110047848324,0.018666212946191016,-0.001996725934949487,0.07827518381919044
