Geneid,ERX339069,ERX339070,ERX339085,ERX339086,SRX3471973,SRX3471974,SRX3471975,SRX3471976,SRX3471977,SRX3471978,SRX4665670,SRX4665671,SRX4665672,SRX4665673,SRX4665674,SRX4665675,SRX4665676,SRX4665677,SRX4665678,SRX4665679,SRX4665680,SRX4665681,SRX4665682,SRX4665683,SRX4665684,SRX4665685,SRX4665686,SRX4665687,SRX4665688,SRX4665689,SRX4665690,SRX4665691,SRX4665692,SRX4665693,SRX4665694,SRX4665695,SRX4665696,SRX4665697,SRX4665698,SRX4665699,SRX4665700,SRX4665701,SRX4665702,SRX7268192,SRX7268193
STMMW_00001,0.0,0.0,0.0,0.0,10.475907353934684,14.412956858563637,12.414720382566683,11.668857006901817,15.307312668641694,14.444091696035306,10.556424559515653,12.85559428319419,12.866833935074835,12.740828625143214,13.23261366090511,12.017073291859198,11.791510370649968,10.589825184633776,11.771301837135015,11.73644802384322,11.86964873076806,10.47593650642516,13.895660324571068,13.892998293352418,14.196609320459473,14.412936796479245,11.45585314830153,11.961000697756766,11.212682203420576,12.346716134887856,12.143829623572232,12.606980066165107,11.771380669352554,11.895051878137489,13.759222404513478,13.474756324329112,13.295673623871783,13.117011232293422,14.816544234303743,11.926490113350077,11.789751083216975,11.182143515921661,13.4126629750281,11.582320260892194,11.001581521725972
STMMW_00011,5.865243250800583,0.0,6.028560716675766,5.714494823031054,4.5682043725512855,6.2825579610111335,5.896361790321381,4.583425213635467,5.361632100612277,4.519109219009511,3.2420077892099766,4.836130244836412,4.5030828053105045,4.761854104068184,4.573593862514936,5.03040827403993,4.316708429595862,4.649515341095718,4.840729821819567,4.629468200227413,4.7571508088481815,4.568232315795171,6.932986401478147,6.70905604629227,7.179308154489748,6.282538155734373,4.087721367881307,4.0214749855056215,5.818247432594374,6.142499078060514,6.987887707573317,5.969137163900255,4.245979855208105,5.1189740003343225,9.31281804798813,9.128418677908801,8.545488517761328,8.332129210255454,9.11196294712558,4.744954813163762,4.363049909331659,4.017578596012995,5.824985112322151,6.955288166385132,7.852767307415539
STMMW_00021,8.2501395935904,0.0,7.4198532813902185,5.538289462149365,6.200543093673189,7.889786478971127,7.01286067074422,6.4700368139842155,9.348288525065666,6.656332737290482,4.578661124254303,6.0710785905601625,5.892081566098488,6.124944277460974,6.436070194409689,6.090095214431676,6.01479191750194,5.378986388088174,6.552933375632433,6.831553083460198,6.194411009645234,6.200571869979853,8.1673666945606,8.277240970990896,8.263870736469672,7.889766500560412,5.6466316848065174,5.347687721098321,6.111663812512111,9.185107339929578,9.878980432566204,10.269742780097552,5.276784516453599,5.792792420809034,9.643088658577208,9.379213664718543,8.93016929285373,8.879841266949763,9.954514208140926,6.5507973747599575,6.523034795439443,6.106400058113617,8.176467382383903,9.760274123673852,10.700368643930412
STMMW_00031,5.230665006510481,6.985699128620117,6.225143491153338,5.652137088926881,6.326028744528449,7.874599410714672,6.825508017317935,6.104151021817044,6.190660008610485,5.3061236119901976,4.757488887452007,6.321054835136094,6.049563388752116,6.024180373648707,6.464531177320569,6.296594186856144,5.84412890313526,5.213446918242617,6.3114296069887015,6.424418625549756,6.051570237880752,6.326057553879365,8.077274512437738,8.249195711205127,8.264828128679882,7.874579433199165,5.490821789600487,5.101481626331736,6.214083145244123,9.000802692551037,9.737383050347724,9.39168316811858,4.7013876428098555,5.753155706811281,9.493693363929516,9.355393237707807,9.03233148046312,8.60796256940855,10.048604148419688,6.377273656963324,6.549729793477975,6.148501683844506,7.957258426981821,9.625336862189323,10.697058006668014
STMMW_00041,8.251996223483193,7.714761146692443,9.999638631932434,10.021119917778114,6.478263890285871,5.843780608846265,6.504157038999854,5.121709508873892,5.3657246347127705,5.057356933451604,5.078005480238971,6.90786876547807,6.627367608659716,6.8142128024793776,7.130639790780988,6.881994738677377,6.55073074290781,5.766779570497099,6.47579606088722,6.6950500198790035,6.370712626632248,6.478292736051778,5.286203458963115,4.865376962419773,6.1579028086228975,5.843760895180009,6.2503198292598094,6.670176323325306,5.022129301611809,6.783222781284436,6.714617162533292,6.732656395281052,6.049489495021354,6.682968005267158,6.214816871310442,5.927761741943225,5.446535925876726,5.9865373576923755,6.5793759462816634,6.448451078289332,6.527728534151176,6.137915075870778,9.78354772460644,7.262182438833129,7.224281151325667
STMMW_00051,7.218355458644552,0.0,6.8026638003917554,7.216844096089042,4.960515904991203,5.244818483683051,4.9014620840364955,4.147553744768824,3.619371385945931,2.93181044036241,4.388534725801863,5.471126325743656,5.341272462252259,5.652041870786446,4.579136741302475,6.0419927163544145,4.710557614867045,4.708063320852785,5.4387995223701875,5.271737239413743,5.199187223938235,4.9605441410243465,5.446232956176808,5.517458428134565,5.35454003602077,5.244798949795311,4.848835278528591,5.250049254646062,6.410044147894276,6.635486028675203,7.046824691120195,6.6328942048248525,4.938221058240778,5.57697116624659,4.797573292413337,4.583097242514839,4.238211470601664,4.185824072616912,5.983385361145979,4.5104132441418745,5.49324287290854,5.238239011389401,6.625048567608867,7.693087676546305,8.70403261358488
STMMW_00061,10.297244661030465,9.40834623896068,10.054074509537307,9.426442146848993,9.171927945771845,7.850461770375972,9.060369082460731,7.784568299299153,6.24983752920972,6.276269109308634,8.256792429625106,10.508583167152374,10.256293016839374,10.359203563309789,10.189122028022325,10.075546450850783,9.358996116962297,8.321636213642213,9.046192796043162,9.183196685109419,9.096750426530447,9.171957068169535,8.52088275157188,8.316386462877585,8.88807433023101,7.850441794302801,9.183560783926165,9.852828849076548,7.717871109654534,8.499096576961007,8.178510581635566,8.7226801421859,8.686955309663627,8.32516520369596,8.78605843037188,8.63261027217326,8.442392213033107,8.432204761691077,8.986196398360606,9.45067020204747,9.356326731447858,9.162100441030748,8.383705473776308,8.810827793223709,8.558171717579262
STMMW_00071,0.0,0.0,5.770227137075576,6.181001248753205,7.436354307116132,5.671699948056561,7.076154153771274,6.608659198418647,4.264828740604881,6.236658394585745,6.550803747413581,7.154818163686554,7.004439154782604,7.121474623135915,7.139150237613529,8.502919744770402,7.172380913986749,6.5042732104658265,7.017992754543021,7.517589633550688,7.381381061161008,7.4363833116639855,5.388979236674082,5.532678429111606,5.191715107493594,5.671680278645196,6.682154194470413,7.297020180681995,7.554476513805956,6.557477596830928,6.54543136466364,5.860234899678901,6.8365707766817065,7.068819824043705,5.677446004090202,5.625302802054786,5.818194316814898,4.889045863195769,6.1707837073898215,5.969747992035367,7.767289283286477,7.118189235347552,6.842920762028038,6.613569935346142,6.3742323049770215
STMMW_00081,5.408681444221122,0.0,5.828962670317149,0.0,3.9574950559755604,2.7801546408735147,4.892249596652593,4.216123515503611,5.05351895927892,4.6881813561352885,6.926592256891529,3.9329276270846996,3.5187858652973296,4.055980718956452,3.210645312770442,4.762787034026966,6.067792715545053,7.77011512074498,4.157675699395061,3.874377544277506,3.111639772739233,3.957522351138978,4.144289174015526,3.2902790440376988,4.370454350823658,2.7801374985804945,4.4813349282156265,5.023446270318351,6.064410551349285,4.7844921843880215,4.889862975954904,2.575054518019197,6.949576843819118,4.132167890007502,4.94235512726425,4.7314073608588485,4.901307343873788,4.667727329765705,3.9827649764921524,2.584900583839763,4.122047667487639,4.202722050922426,3.753335586917857,5.669115541069782,5.820383580490725
STMMW_00091,0.0,0.0,0.0,0.0,2.6088904545164957,2.7710622763154964,2.839788824363381,2.275130232022362,2.0973531438481103,1.8300998534917774,2.060920947407544,3.384806907619354,2.885732383770774,2.677530775751461,3.1127777937800554,2.9178708627678986,2.323570883968974,2.2565834192925154,2.4991741260099607,2.0893830880410884,1.496199478413053,2.6089148453457374,2.22652954946379,2.8284088418938658,1.9101595458600016,2.771045152487919,2.0974196213992875,0.8753608463306982,5.038486772482481,2.77089142489959,3.010835110365547,3.6796414983551577,2.8377734212025545,3.2859701211676415,1.7382367739980167,1.8372798721329355,1.677835642084518,2.0058417361919534,3.7456955910414518,2.7381142692309646,1.752625577683711,2.075864721636749,1.7985632587899816,3.0657067946558896,3.239771751276006
