Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
STM0002,0.02578043843275154,-0.0005286029943196282,-0.01515030575578246,-0.018293503892543316,0.014265084252831,0.0019155416211579757,0.0024432344201128337,0.021162299956897574,0.021777302570323794,0.003481503503230918,-0.023722491116645428,0.011417669423963378,0.003022169219278384,0.015130610216659506,-0.019147012435881385,-0.005906959697696708,-0.01675319045788781,-0.028172926150843484,0.001247450424251236,0.00524820695533333,0.00498472858228437,-0.02119401152451736,0.010303869491074188,0.011680480014051168,-0.02097839997779464,0.007439723738911689,0.07261413917735121,0.0027176354199907006,0.0015173035568008463,-0.009137673715995063,-0.01558105046711116,-0.015488396086207685,-0.012729784340682981
STM0003,0.011988435268722578,-0.025282912501096145,0.010464546837443377,-0.01424024121752588,-0.006501796326994651,-0.013707794556914095,-0.006552729420671284,0.025246339098227117,-0.010447459569355085,-0.004688620653145587,-0.013456395462341167,-0.003988483967350166,0.014061744720603423,0.0029633099677361502,-0.012047607522961577,-0.004645501259358912,-0.020924469932394277,-0.02541651486627288,0.012779506560347232,0.01563725250636028,0.009290487025430345,-0.00832432066384659,0.015457254321895422,0.019306231259694936,-0.013477597530958093,-0.006582344644101493,0.03427272688473428,0.01211861943559466,-0.009134765061955059,0.00738780936302869,-0.004910743862705105,-0.01364715464751118,-0.0019931808587194343
STM0004,0.015722550853312367,-0.014480320491258478,0.007620960445517228,-0.01449718513472691,0.0037356539023655783,-0.003977955088532935,-0.0016051849413276115,0.01367708650361454,0.0008520305220047669,-0.003857774307607721,-0.017571010988125683,0.005206090953416974,0.012198230672723877,0.013544383037345504,-0.003497961383583372,-0.008719269709749001,-0.010151436595736365,-0.02924253366832592,0.011133499672300429,0.007727392543724415,0.01599617132998966,-0.0031019700007355916,0.014223068604875844,0.0244399641783505,0.0007223353981882716,-0.00888376817798163,0.04032056024916704,0.0038741949606897856,-0.01447164250163406,0.0029348791288086365,-0.0013743814048506834,-0.013076176656438277,0.00760401278358471
STM0005,0.002779211347404882,-0.007747610357740508,0.004194608927376723,-0.00997314843254505,-0.008355271982454794,-0.0016369060114805156,0.008845432023862197,0.012819550813921847,-0.01419040853823037,0.0008582957197698237,-0.0015738117687554612,-0.0023959788748694243,-0.003927885301987902,0.00994963848056268,-0.005703381988263067,-0.005237570319688801,-0.00807471171049257,-0.003884370469406659,0.002006524026961686,0.00024540137344441826,0.02444365357686466,-0.009817816532702018,-0.0007382795299714351,-0.0014066932422405088,0.006302320242122762,0.0023565664283697755,-0.014399784108631792,0.0010149096291784002,0.005034969716427204,0.0014938208865522195,-0.007696156249814985,-0.015420279154745548,0.01846016501831842
STM0006,0.0032084798822738397,-0.007114830325942471,0.014120623970829667,-0.008272011377683297,-0.016466763718354264,-0.011769850243536013,-0.008315680233040898,-0.0010853707992356924,-0.00798614056296134,0.0009889754724300341,-0.0020762784796991944,-0.0025990563210344765,-0.013821613181468297,-0.013397869108831869,-0.006772464656846803,-0.007706438193761389,-0.004916008480203072,-0.006753594776215419,0.009642147355547573,0.012302787280948004,0.009437413346257115,0.013759929556798809,0.003100905196603582,-0.01268986094164972,-0.0014518346457975454,0.017729815655696087,-0.02430894679429632,0.01036823305096644,-0.0051199226401273225,0.015200224349051378,-0.00174137314842919,-0.005565950993891725,0.013361189708174794
STM0007,0.005843393085390911,-0.00290200238094661,0.0013618952577907643,-0.004509601741023525,-0.0007300104029584182,-0.0027908055190351555,0.008931225733662809,-0.009126700857339055,0.014693337358821112,-0.002396943117686827,0.007917134776515958,0.006851340489158377,-0.0017356979360853178,0.011212951805596592,-0.0009342678954177045,-0.004361747801236371,0.004977808903510497,-0.009710309840396737,0.0006932055825376528,0.007761549959887617,0.04107815248700632,-0.0038586233551359526,0.004938990041544637,0.012571797182945797,0.0036802629013559882,0.004501193141286122,-0.013670356429972254,-0.006024488455576718,0.001186923518585111,0.004284017287724764,0.005948037781005368,0.007184500939268617,0.005348793027334116
STM0008,0.00389831631824986,0.011162041322131989,0.017796243907537236,-0.009447289506012858,0.0013812843017513622,0.00685720840073694,0.009699151129012666,0.0036322757833610786,0.004877806107978774,0.007210653614779013,0.003061701119534573,-0.0035049972703536723,0.009559391147247116,0.0020708385028812702,-0.012001566429327804,-0.005266384037299236,-0.00017642867307742177,0.0008805939682147236,-0.007810728392463141,-0.01389815525645043,0.007103645860785966,0.004558866256246335,0.0004343385793733233,-0.0030266782954723754,-0.009098005390891273,-0.010238780183471645,-0.021101404666602385,-0.015257776728879855,0.00415268977666893,0.0007188610658498258,-0.0012212010323170012,-0.023448658834905715,0.012167662948473299
STM0009,-0.013903104966103507,0.006522227415023647,-0.019185260940265837,-0.027993907027328895,0.004456298400747205,-0.011695626427366013,-0.01938470063698409,0.05776079741047429,0.026778335749622777,0.01501838053511905,-0.02312904158022718,0.0005432965845736052,0.006983291356434068,-0.023706582905893902,-0.0046110662604499746,0.00647327176427858,0.04078147985840262,0.004693950548789804,-0.0018355993864524356,-0.012310150144682562,-0.017775314784322486,0.021811761314375077,-0.0014378514151010746,-0.008280633418673255,-0.003517071991418908,0.008022495586626972,-0.010696984107596402,0.01733772176437216,-0.005820421323661879,0.015432553298789236,-0.026074532363355662,0.048250010462652246,-0.014240377013847042
STM0010,-0.0034736559027514313,0.007808210362623561,0.009783100938405852,-0.0022098364417692203,-0.005655957949646373,-0.0009438336357628778,-0.005694627671046782,-0.0002059169413390693,0.00519319912841482,-0.009552795174993264,-0.005230576550377885,-0.01636742660923556,1.1993701689694378e-06,-0.0027497516869074796,0.0007003034422443926,-0.00422659303772208,-0.012050041177620964,-0.0006891431865584663,-0.0030968274231494676,0.0010591559782045156,-0.010629435218795138,-0.003998794147863241,-0.009130949771064541,-0.010691994068142505,0.026019404356663837,0.007491624190615696,-0.007924114166194733,0.008691190873545194,-0.004774888115062476,0.006368334286431741,0.003323397145761355,-0.003932115182210324,0.002183797113909104
STM0011,-0.008374110098953587,0.008388499387480585,0.014002505958462573,-0.014362628792596272,-0.012760348204171679,-0.011369519625880602,0.0016272118401140217,-0.012023853670371645,-0.008671406742221763,-0.00938629851316004,-0.0013901690034651313,-0.008879942792737506,0.013232975228193878,-0.003488577657564621,0.0031548067024873097,-0.0040833621310416,-0.014754911300225078,-0.0023111794923280585,-0.0030959123320183097,0.014492167215057384,-0.008814955085643282,-0.002027984936587498,-0.0027645878195714747,-0.003594052513537627,0.021880058823443592,0.020275624299181685,-0.018639315674378463,0.016981962610238373,0.002628061418285847,0.007130837714924697,-0.0029370787462236897,0.005168747191196609,-0.01836489077993526
