Geneid,0,1,2,3,4,5,6,7,8,9
SL1344_P2_0001,0.005513581992547618,-0.006578831641911738,0.017344379742989077,-0.10400957407449896,0.014913000609479261,0.0013435291989822007,0.0021810425619564343,0.001801757491504903,-0.012117861922758379,-0.003833986546375153
SL1344_P2_0002,-0.0018077436973622412,-0.01295667557167744,0.01364124085771266,-0.09325015905573103,0.01807282266210762,0.0007330535813017702,0.007639257630715739,2.400056009884207e-05,-0.015837117786549282,-0.005995090101967466
SL1344_P2_0003,-0.015439944848077815,0.00850684174582635,-0.013194339921228046,0.010587127635940717,-0.017214179903693505,-0.0023358452457748115,-0.004353210013454042,0.009849242124974601,0.0060733922990720566,-0.013832379814145668
SL1344_P2_0004,-0.01733347471013534,0.005983896712051804,-0.013253593968480961,0.015774922298210124,-0.008584166523797662,-0.005733135655082529,-0.002138722731508561,0.006377991058081622,-0.010526771683065171,-0.019097155892692876
SL1344_P2_0005,-0.008607384032199218,-0.0010935670863255161,-0.013917053360327097,0.004706996838648284,-0.0147864587851401,-0.00265404207807404,0.005644079658814904,-0.007593546896212271,-0.027258347274176135,-0.01148954188190896
SL1344_P2_0006,-0.00728605445831674,0.004479993498180578,-0.009349645355705271,0.003653950851601289,-0.005472366985463221,-0.0075667517979832455,0.005584076782131389,-0.008259054179755964,-0.0035649663167173274,0.0005182792810045637
SL1344_P2_0007,-0.0020092463348374166,0.007969190990296688,0.0038212896109279084,0.00450410058079601,-0.0013417109073181636,-0.0025672966160458087,0.005578628118313599,0.005351550196932886,0.019513270836590362,0.013551102373091619
SL1344_P2_0008,0.01182053005164976,0.001392080271290852,-0.01810500758259469,0.004585302182514159,0.0027144016968148055,-0.002264913564075298,-0.0008398250370861857,-0.0004414818630670803,0.00615132865274926,0.004187538138829252
SL1344_P2_0009,0.011602590869995839,0.003006630408251094,-0.01284204603785415,0.004853073666836159,-0.0062312688501839466,-0.002270372790267237,-0.0007793235462595267,0.0009003046845510518,0.011529432980552342,0.00818028390014889
SL1344_P2_0010,0.013321674286184642,0.007351982071550623,0.004187024752445299,-0.0865583684977532,-0.012626617923069891,0.006732316198275848,-0.012221778299120167,-0.019520351983070176,-0.012908605905521666,0.0029106229137815564
SL1344_P2_0011,-0.006098009619632448,0.02670994409405012,0.0014094342969070538,-0.05941199951410796,-0.014131515068451833,0.013637480387130847,-0.00204342693778375,-0.020050390173949335,-0.009636050716357569,0.00481687291833517
SL1344_P2_0012,0.015185843194076067,0.014446386302314658,-0.010687177397387919,-0.06051443796181732,-0.018222534060937337,0.012934636759532865,0.039411786600919166,-0.011056970426139418,0.0014771720887263614,0.021740708576869855
SL1344_P2_0013,0.01117878270221082,0.004107272483219631,-0.026670180307066235,0.004866472637748059,0.0027088437959229108,-0.0032281387682800834,0.030963743697925105,-0.01338489701419548,0.030634403065430367,0.026296820212036668
SL1344_P2_0014,-0.006837617908317331,-0.002621816768773153,-0.01615306729294474,0.014236741933472664,0.005435523474913781,0.00021672162371150238,0.031550265156847515,-0.0046646949250701494,-0.014768871253749876,-0.009248917965918072
SL1344_P2_0015,-0.004478756960108856,-0.0011153306636768028,0.000133331668468055,0.013841831743186268,-0.009115951287127708,0.0015468126497496998,0.027982683949247186,0.006235688380692827,0.00813372582471357,-0.019766621815715826
SL1344_P2_0016,-0.0009234583083328515,0.0037964141155755536,-0.0062394022084052226,0.004872675408150949,-0.009925704733116596,0.0016689798833214703,0.00041069315148036157,-0.010247959705543777,-0.0002589345579113501,0.004466969240442625
SL1344_P2_0017,0.002155002982155862,-9.888400321558228e-05,-8.525676059442818e-05,-0.03149134697600899,-0.009877218755689641,0.00881441859032429,-0.0052079187843675,-0.010517718772236357,0.005410426805202937,-0.0038010746139466667
