	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX2173639	20213710	11985231	72445	3452805	0	0	0	0	0	0	0	0	0	4020902	651283	31044	59.292584092677686	20213710.0	16760905.0	82.92	3452805.0	17.08	ERX2173639_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20213710.0	0.0	20-51	50.0	29.19501140730409	48.52345912749317	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	21491198	9824642	21491198	1096051098	9100069	989626872	9.709786906303524	0.5563	0.0798	0.364		
ERX2173640	22752760	13560137	119089	2931829	0	0	0	0	0	0	0	0	0	5216397	886792	38516	59.59776747963763	22752760.0	19820931.0	87.11	2931829.0	12.89	ERX2173640_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22752760.0	0.0	20-51	51.0	23.261881451247092	48.66679369887434	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	23429920	10554345	23429920	1194925920	9925331	1111044368	7.019811905996648	0.5558	0.0691	0.3751		
ERX2173641	20749705	10425914	48080	5930287	0	0	0	0	0	0	0	0	0	3651739	665744	27941	50.246083016601936	20749705.0	14819418.0	71.42	5930287.0	28.58	ERX2173641_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20749705.0	0.0	20-51	50.0	23.358800453647017	46.982025190237636	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	21424766	11536895	21424766	1092663066	8871923	978361591	10.460816198211278	0.5553	0.0595	0.3852		
ERX2173642	25130997	14807335	484785	3779411	0	0	0	0	0	0	0	0	0	5154834	862516	42116	58.920603110175044	25130997.0	21351586.0	84.96	3779411.0	15.04	ERX2173642_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25130997.0	0.0	20-51	51.0	21.803067770209104	48.679587920845314	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	25913397	11501752	25913397	1321583247	10069217	1228305992	7.0579931466095545	0.5762	0.0685	0.3553		
ERX321079	17325531	8496032	5244972	947914	0	0	0	0	0	0	0	0	0	2315105	302994	18514	49.03764277123743	17325531.0	16377617.0	94.53	947914.0	5.47	ERX321079_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17325531.0	0.0	20-51	53.0	21.137157373083372	49.70948342073903	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	17517247	6863647	17517247	893379597	5271875	862726560	3.431132421529882	0.5601	0.0687	0.3712		
ERX321081	15184751	7660613	3286888	2145409	0	0	0	0	0	0	0	0	0	1814855	262293	14693	50.44938175146896	15184751.0	13039342.0	85.87	2145409.0	14.13	ERX321081_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15184751.0	0.0	20-51	53.0	31.341183100400805	48.37093667192831	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	15676688	6697983	15676688	799511088	4792255	739868084	7.459934564409694	0.5710000000000001	0.064	0.365		
ERX321082	11660124	8212598	27411	1031929	0	0	0	0	0	0	0	0	0	2077775	291897	18514	70.43319607921836	11660124.0	10628195.0	91.15	1031929.0	8.85	ERX321082_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11660124.0	0.0	20-51	52.0	30.377954842568695	49.35942430800908	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	11976996	4331873	11976996	610826796	3336555	578329533	5.320209135029499	0.4971	0.0688	0.434		
ERX321083	19256504	10628827	4689049	838671	0	0	0	0	0	0	0	0	0	2747621	333062	19274	55.19603662222384	19256504.0	18417833.0	95.64	838671.0	4.36	ERX321083_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19256504.0	0.0	20-51	53.0	18.119112171326627	50.032074409768256	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	19368366	7255867	19368366	987786666	5815173	964206370	2.387185088809449	0.5687	0.0595	0.3717		
ERX321084	17588717	12311485	1796436	531578	0	0	0	0	0	0	0	0	0	2430230	494242	24746	69.99649263786553	17588717.0	17057139.0	96.98	531578.0	3.02	ERX321084_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17588717.0	0.0	20-51	52.0	19.945764351890645	50.12034385452901	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn	17703186	6053519	17703186	902862486	4636337	882410242	2.2652667839385683	0.59	0.0543	0.3557		
ERX321085	11486116	7067387	2080718	405523	0	0	0	0	0	0	0	0	0	1652615	266392	13481	61.529824354899425	11486116.0	11080593.0	96.47	405523.0	3.53	ERX321085_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11486116.0	0.0	20-51	53.0	23.34399632058772	50.0732250135729	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn	11541766	4042089	11541766	588630066	3138989	575580158	2.216996506597065	0.5754	0.0654	0.3592		
ERX321086	26212872	16967553	2969189	998968	0	0	0	0	0	0	0	0	0	4686541	555590	35031	64.72985104417403	26212872.0	25213904.0	96.19	998968.0	3.81	ERX321086_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26212872.0	0.0	20-51	53.0	17.372852083172365	50.08887854791341	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	26338007	9191648	26338007	1343238357	7890789	1313990667	2.1774013411381463	0.6222	0.0523	0.3255		
SRX027368	11487449	496429	8894552	393392	0	0	0	0	762829	0	0	0	0	705356	231234	3657	4.321490350033328	11487449.0	11094057.0	96.58	393392.0	3.42	SRX027368_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11487449.0	0.0	20-35	56.0	27.494133680987677	34.12350313807704	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail	15962284	4626488	15962284	558679940	29138840	522755634	6.4302122607086964			0.3828	0.3158	0.3014
SRX027369	19932131	1063987	15427131	500508	0	0	0	0	1732650	0	0	0	0	963578	236498	7779	5.338049403749152	19932131.0	19431623.0	97.49	500508.0	2.51	SRX027369_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19932131.0	0.0	20-35	56.0	6.957639633102603	34.31356822810365	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail	20928919	6058947	20928919	732512165	27378309	696430976	4.925677787207807			0.3278	0.3534	0.3188
SRX103230	28054557	4241699	11782445	3236427	0	0	0	0	0	0	0	0	0	7797865	980874	15247	15.119465261918053	28054557.0	24818130.0	88.46	3236427.0	11.54	SRX103230_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28054557.0	0.0	20-35	49.0	8.278346768803054	34.18774860711577	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	29275111	7552760	29275111	1024628885	47672238	967326760	5.592476050487294	0.5611	0.0824	0.3565		
SRX1140605	10010502	4176452	3127	4681846	0	0	0	0	0	0	0	0	0	863361	279058	6658	41.72070491569753	10010502.0	5328656.0	53.23	4681846.0	46.77	SRX1140605_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10010502.0	0.0	20-151	51.0	62.94697837537095	138.10594983148698	pass	pass	pass	warn	pass	pass	warn	warn	warn	pass	pass	10125866	3498580	10125866	1529005766	104648569	1383126618	9.5407846879238	0.3999	0.0258	0.5743		
SRX1140606	8361262	3536211	2495	3873426	0	0	0	0	0	0	0	0	0	716974	226693	5463	42.292790251041055	8361262.0	4487836.0	53.67	3873426.0	46.33	SRX1140606_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8361262.0	0.0	20-151	51.0	61.68563033617362	140.73523877137208	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass	pass	8427941	2749161	8427941	1272619091	75066847	1176804696	7.528913849996612	0.3524	0.0223	0.6253		
SRX1140607	11393213	4857486	3189	5282722	0	0	0	0	0	0	0	0	0	935871	306997	6948	42.634909046289216	11393213.0	6110491.0	53.63	5282722.0	46.37	SRX1140607_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11393213.0	0.0	20-151	51.0	59.10561257422852	140.82432470980748	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass	pass	11477749	3698813	11477749	1733140099	100895611	1604518680	7.421293816594107	0.4054	0.0239	0.5707		
SRX1462102	36266763	31027611	127420	1737306	0	0	0	0	28539	0	0	0	0	1400933	1766072	178882	85.5538471961228	36266763.0	34529457.0	95.21	1737306.0	4.79	SRX1462102_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36266763.0	0.0	20-100	52.0	20.887441245980984	93.41712537179016	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		42867193	11523842	42867193	4286719300	752924895	3517219113	17.950794842106873			0.4884	0.2647	0.2469
SRX1462103	33691650	28795488	118474	1559284	0	0	0	0	25551	0	0	0	0	1495296	1539029	158528	85.4677286508675	33691650.0	32132366.0	95.37	1559284.0	4.63	SRX1462103_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33691650.0	0.0	20-100	52.0	21.109864420330165	93.42590730937785	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		39891696	10603776	39891696	3989169600	629494292	3344408341	16.16279385564354			0.5	0.2559	0.2441
SRX1462104	26552546	22672370	77955	1349829	0	0	0	0	17766	0	0	0	0	1040313	1271243	123070	85.38680245577956	26552546.0	25202717.0	94.92	1349829.0	5.08	SRX1462104_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26552546.0	0.0	20-100	52.0	26.84673067854085	92.67331321071808	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		31464464	8432400	31464464	3146446400	564342205	2570061681	18.31859328669956			0.4752	0.2702	0.2546
SRX1462105	32589070	28264639	63152	1514677	0	0	0	0	5883	0	0	0	0	1397885	1220645	122189	86.73042526221217	32589070.0	31074393.0	95.35	1514677.0	4.65	SRX1462105_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32589070.0	0.0	20-100	52.0	20.941468482313407	93.57638809576339	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		38518493	10236723	38518493	3851849300	694245018	3142545782	18.414622763149122			0.4435	0.2865	0.27
SRX1462169	13512085	10858641	58960	878966	0	0	0	0	9518	0	0	0	0	864053	777465	64482	80.36243851337524	13512085.0	12633119.0	93.49	878966.0	6.51	SRX1462169_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13512085.0	0.0	20-150	52.0	24.78905072976986	139.36265002773442	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		13811782	6458101	13811782	2071767300	106078697	1894130184	8.57418282448999			0.3886	0.3088	0.3026
SRX1462171	12949375	10722659	48410	685511	0	0	0	0	7438	0	0	0	0	746142	674855	64360	82.80445195231431	12949375.0	12263864.0	94.71	685511.0	5.29	SRX1462171_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12949375.0	0.0	20-150	52.0	25.836002764682046	139.0998196438052	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		13244142	6433534	13244142	1986621300	96585850	1812326908	8.773407996783282			0.359	0.3218	0.3192
SRX1462172	15518667	12744443	76914	1084588	0	0	0	0	11894	0	0	0	0	700465	814226	86137	82.12330994665973	15518667.0	14434079.0	93.01	1084588.0	6.99	SRX1462172_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15518667.0	0.0	20-150	52.0	26.16041296514573	139.08811897310508	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		15939251	7803668	15939251	2390887650	76914564	2220915522	7.109164163359997			0.4508	0.2759	0.2733
SRX1816857	15788781	11907267	97941	2609990	0	0	0	0	0	0	0	0	0	769900	370208	33475	75.41599949989805	15788781.0	13178791.0	83.47	2609990.0	16.53	SRX1816857_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15788781.0	0.0	20-76	52.0	52.72653320787444	74.93299970403034	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass		15846152	1700661	15846152	1195956093	5693859	1186747212	0.7700015957023935	0.2662	0.2559	0.4779		
SRX1816858	15179275	11869165	107300	2072944	0	0	0	0	0	0	0	0	0	789521	309847	30498	78.19322727864143	15179275.0	13106331.0	86.34	2072944.0	13.66	SRX1816858_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15179275.0	0.0	20-76	52.0	48.604736745433904	74.80174145339616	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass		15735848	1907680	15735848	1177274934	16320135	1139019817	3.2494633067588947	0.2927	0.2748	0.4325		
SRX1816859	35367699	28837025	191611	3189943	0	0	0	0	0	0	0	0	0	2060848	1001379	86893	81.53491975828003	35367699.0	32177756.0	90.98	3189943.0	9.02	SRX1816859_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35367699.0	0.0	20-76	52.0	40.29239159007647	74.9706608846677	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		35684241	3879206	35684241	2691851359	13888707	2659638318	1.196687212772657	0.3005	0.281	0.4185		
SRX1816860	21539342	17564297	111904	2030175	0	0	0	0	0	0	0	0	0	1220342	559190	53434	81.54518833490826	21539342.0	19509167.0	90.57	2030175.0	9.43	SRX1816860_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21539342.0	0.0	20-76	53.0	45.483477201552866	74.986901642585	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		21631891	2306741	21631891	1634207086	5896320	1620064384	0.8654167590606079	0.2446	0.2341	0.5213		
SRX1816861	15319262	11860869	152038	1997052	0	0	0	0	0	0	0	0	0	853807	403015	52481	77.42454564717282	15319262.0	13322210.0	86.96	1997052.0	13.04	SRX1816861_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15319262.0	0.0	20-76	51.0	46.102235449956105	74.85528689306312	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass		15727305	1834364	15727305	1176181658	15244322	1150347177	2.1964703176828486	0.2694	0.2552	0.4754		
SRX1816862	33209159	27032194	87195	3020000	0	0	0	0	0	0	0	0	0	1898620	1048810	122340	81.39981503295522	33209159.0	30189159.0	90.91	3020000.0	9.09	SRX1816862_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33209159.0	0.0	20-76	52.0	39.9413031461401	74.97056947452359	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		33294158	3563339	33294158	2514199348	10389737	2497341418	0.670508884405295	0.2692	0.254	0.4768		
SRX1816863	46535390	34820252	2158877	5343831	0	0	0	0	0	0	0	0	0	2984755	1122872	104803	74.82531466911527	46535390.0	41191559.0	88.52	5343831.0	11.48	SRX1816863_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46535390.0	0.0	20-76	53.0	38.94237680120307	74.98485290442392	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		46571576	4881819	46571576	3519359884	11949057	3500170566	0.5452502339200954	0.28	0.2645	0.4555		
SRX1816864	16384808	13168948	98451	1671547	0	0	0	0	0	0	0	0	0	1015717	393466	36679	80.3729161794267	16384808.0	14713261.0	89.8	1671547.0	10.2	SRX1816864_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16384808.0	0.0	20-76	52.0	46.96048804577941	74.96388190816764	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		16427543	1751437	16427543	1240407770	5281269	1232031824	0.6752574598915968	0.2946	0.2756	0.4298		
SRX1816865	2430553	1342305	23291	875291	0	0	0	0	0	0	0	0	0	128150	54409	7107	55.22632092367457	2430553.0	1555262.0	63.99	875291.0	36.01	SRX1816865_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2430553.0	0.0	20-76	48.0	78.45610498439757	74.31324311792419	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass		3775980	552869	3775980	237664853	42128993	181272478	23.727688081838505	0.3551	0.33399999999999996	0.3109		
SRX1816866	39808210	31536413	109173	3612320	0	0	0	0	0	0	0	0	0	3244468	1196144	109692	79.22087679903215	39808210.0	36195890.0	90.93	3612320.0	9.07	SRX1816866_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39808210.0	0.0	20-76	52.0	39.83349467576775	75.00268175836091	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		39833788	4128745	39833788	3009830662	9325169	2994833775	0.49826348004690507	0.2416	0.2297	0.5287		
SRX1816867	21120376	17289763	83789	2069559	0	0	0	0	0	0	0	0	0	1096428	506222	74615	81.86295073534677	21120376.0	19050817.0	90.2	2069559.0	9.8	SRX1816867_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21120376.0	0.0	20-76	52.0	43.87449504996294	74.95483243290744	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass		21193827	2244565	21193827	1599746510	7493102	1587933261	0.7384450552731632	0.2684	0.2573	0.4743		
SRX1816868	16025779	12864959	75119	1660846	0	0	0	0	0	0	0	0	0	949180	423793	51882	80.27665301012823	16025779.0	14364933.0	89.64	1660846.0	10.36	SRX1816868_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16025779.0	0.0	20-76	52.0	46.85034979421153	74.95671942062847	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		16059581	1719007	16059581	1212991557	5089778	1204927292	0.6648244955591229	0.2677	0.2558	0.4766		
SRX1816869	21565274	17267235	126514	2323174	0	0	0	0	0	0	0	0	0	1382912	422756	42683	80.0696295349644	21565274.0	19242100.0	89.23	2323174.0	10.77	SRX1816869_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21565274.0	0.0	20-76	53.0	44.1465528365808	74.93379634313943	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		22386184	3032704	22386184	1687389221	10709017	1620917459	3.939325981981012	0.3252	0.3102	0.3646		
SRX1816870	14930181	11547249	82884	2205341	0	0	0	0	0	0	0	0	0	829825	236036	28846	77.34165446487219	14930181.0	12724840.0	85.23	2205341.0	14.77	SRX1816870_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14930181.0	0.0	20-76	52.0	50.60572771986062	74.8840093767115	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass		15510441	2132717	15510441	1169027167	7839276	1121496116	4.065863680651315	0.3049	0.2909	0.4042		
SRX1816871	12562153	7357906	55568	4433900	0	0	0	0	0	0	0	0	0	533729	160705	20345	58.572013889657285	12562153.0	8128253.0	64.7	4433900.0	35.3	SRX1816871_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12562153.0	0.0	20-76	49.0	64.67129907950219	74.82065868804494	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass		16137416	2683424	16137416	1116565941	93098410	942921305	15.55166870346084	0.3425	0.3098	0.3477		
SRX1816872	16742585	13872503	58598	1603247	0	0	0	0	0	0	0	0	0	801212	349850	57175	82.85759337641109	16742585.0	15139338.0	90.42	1603247.0	9.58	SRX1816872_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16742585.0	0.0	20-76	53.0	45.514246690065505	75.02496322999106	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass		16845332	1815115	16845332	1271728082	4734340	1259872401	0.932249681972502	0.309	0.2852	0.4058		
SRX1816873	34446905	27772584	113529	3114423	0	0	0	0	0	0	0	0	0	2582329	784561	79479	80.62432314310965	34446905.0	31332482.0	90.96	3114423.0	9.04	SRX1816873_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34446905.0	0.0	20-76	53.0	40.21938007428327	75.01441508315479	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		34518155	3582306	34518155	2608491973	7865886	2591839193	0.6384064115347002	0.2436	0.2326	0.5237		
SRX1816874	14873283	12047300	57825	1329754	0	0	0	0	0	0	0	0	0	932979	452943	52482	80.99960176915883	14873283.0	13543529.0	91.06	1329754.0	8.94	SRX1816874_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14873283.0	0.0	20-76	52.0	47.324411684605344	74.97262494097637	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		14983343	1636819	14983343	1132069498	4471889	1118461198	1.202072843057909	0.27	0.2555	0.4745		
SRX1816875	19798200	16265954	142273	1676104	0	0	0	0	0	0	0	0	0	1133119	532293	48457	82.1587518057197	19798200.0	18122096.0	91.53	1676104.0	8.47	SRX1816875_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19798200.0	0.0	20-76	52.0	45.33591993966167	75.03471739855138	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		19899438	2169817	19899438	1503001596	4708395	1490021826	0.8635899013376697	0.3048	0.2696	0.4256		
SRX1816876	21465392	17401624	63425	1834762	0	0	0	0	0	0	0	0	0	1545788	569585	50208	81.06827958231555	21465392.0	19630630.0	91.45	1834762.0	8.55	SRX1816876_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21465392.0	0.0	20-76	53.0	43.366512254909246	75.02274852469499	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		21493828	2224175	21493828	1624301992	4837989	1615251167	0.5572131933948893	0.3024	0.2837	0.4139		
SRX1816877	19651693	15668864	129038	1843638	0	0	0	0	0	0	0	0	0	1437717	525359	47077	79.73289629549983	19651693.0	17808055.0	90.62	1843638.0	9.38	SRX1816877_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19651693.0	0.0	20-76	53.0	45.33725008022895	75.00191744293991	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		19875919	2267650	19875919	1502065682	4981888	1478363634	1.5779634861533305	0.3041	0.2932	0.4027		
SRX1816878	23767917	19237039	301273	2089953	0	0	0	0	0	0	0	0	0	1425937	634714	79001	80.9370000745122	23767917.0	21677964.0	91.21	2089953.0	8.79	SRX1816878_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23767917.0	0.0	20-76	53.0	42.25247171454563	75.03443309735556	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		23946132	2626895	23946132	1809059706	5637581	1788770324	1.1215429724462616	0.2602	0.249	0.4908		
SRX1816879	16579079	13386026	44142	1596756	0	0	0	0	0	0	0	0	0	1022413	471831	57911	80.74046815266395	16579079.0	14982323.0	90.37	1596756.0	9.63	SRX1816879_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16579079.0	0.0	20-76	52.0	47.7152529302095	75.00667280733751	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		16631197	1782894	16631197	1256778785	3998011	1247345324	0.7506063209047565	0.2652	0.2513	0.4834		
SRX1816880	18109018	14297912	96597	1935435	0	0	0	0	0	0	0	0	0	1207611	510732	60731	78.95465121300337	18109018.0	16173583.0	89.31	1935435.0	10.69	SRX1816880_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18109018.0	0.0	20-76	52.0	46.2848550408931	74.92697848110814	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		18257370	2064351	18257370	1379242654	6077625	1361020800	1.3211492515224954	0.2642	0.2539	0.4819		
SRX2026244	34915246	26195377	151510	1969999	0	0	0	0	0	0	0	0	0	5629856	905489	63015	75.02561202060556	34915246.0	32945247.0	94.36	1969999.0	5.64	SRX2026244_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34915246.0	0.0	20-51	53.0	14.135953684728978	50.28507572308097	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	34931110	9665344	34931110	1781486610	12076098	1755900131	1.4362431273059078	0.1008	0.4612	0.43799999999999994		
SRX2026245	25046007	19056520	93430	1123312	0	0	0	0	0	0	0	0	0	4068333	661025	43387	76.08606034486854	25046007.0	23922695.0	95.52	1123312.0	4.48	SRX2026245_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25046007.0	0.0	20-51	53.0	16.230082476500097	50.27441703581733	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	25056700	6934780	25056700	1277891700	8927386	1259302109	1.4547078598288103	0.09699999999999999	0.4496	0.4534		
SRX2148413	17148889	153282	16615803	348547	0	0	0	0	5422	0	0	0	0	12861	10024	2950	0.8938304982905889	17148889.0	16800342.0	97.97	348547.0	2.03	SRX2148413_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17148889.0	0.0	20-50	55.0	3.7965752068786878	49.408680352412325	pass	pass	pass	fail	warn	warn	warn	fail	warn	pass	fail	17226553	5396108	17226553	861327650	3456848	850794217	1.2229298571803655			0.4704	0.2935	0.2361
SRX2148414	25048376	207044	24083827	715626	0	0	0	0	11808	0	0	0	0	12713	13154	4204	0.8265765413294659	25048376.0	24332750.0	97.14	715626.0	2.86	SRX2148414_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25048376.0	0.0	20-50	55.0	3.4302406926803704	49.27601745518353	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	25182869	7790182	25182869	1259143450	13578227	1235326845	1.8914925856938702			0.467	0.2725	0.2605
SRX2240122	28048867	106261	466564	27307160	0	0	0	0	0	0	0	0	0	165715	2880	287	0.3788423967356685	28048867.0	741707.0	2.64	27307160.0	97.36	SRX2240122_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28048867.0	0.0	20-50	53.0	18.777303250654114	49.009542667088844	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	28132254	7189924	28132254	1406612700	23374966	1375991913	2.176916716307197	0.3258	0.1704	0.5038		
SRX2240123	34786184	98546	581378	33950867	0	0	0	0	0	0	0	0	0	153407	1904	82	0.2832906305560852	34786184.0	835317.0	2.4	33950867.0	97.6	SRX2240123_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34786184.0	0.0	20-50	53.0	17.697893549884135	49.04000763636506	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	34893678	9052517	34893678	1744683900	27944235	1707623965	2.124163293992683	0.4006	0.1726	0.4268		
SRX2240124	30483130	34202	1227	30332060	0	0	0	0	0	0	0	0	0	114378	1173	90	0.11219976426305303	30483130.0	151070.0	0.5	30332060.0	99.5	SRX2240124_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30483130.0	0.0	20-50	53.0	23.04109132168939	49.56105928098591	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	30497687	7070079	30497687	1524884350	6809369	1510986036	0.9114339720254852	0.1995	0.1949	0.6056		
SRX2240125	27365994	47856	785	27181133	0	0	0	0	0	0	0	0	0	134180	1928	112	0.17487396949659495	27365994.0	184861.0	0.68	27181133.0	99.32	SRX2240125_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27365994.0	0.0	20-50	54.0	23.85235127525557	49.52317456475361	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	27377904	6896132	27377904	1368895200	6547779	1355416036	0.984674648577919	0.1469	0.1547	0.6983		
